cohort,target_id,outer_fold_id,held_group,train_groups,test_groups,train_rows,test_rows,selected_feature_ids
voronoi,COMP-Y-DENSIFI-STRAIN,HOLD_VF30,VF30,VF45|VF60,VF30,20,10,SFX012|SFX018|SFX016|SFX026|SFX030|SFX008|SFX022|SFX037
voronoi,COMP-Y-DENSIFI-STRAIN,HOLD_VF45,VF45,VF30|VF60,VF45,20,10,SFX012|SFX016|SFX018|SFX008|SFX015|SFX032|SFX030|SFX011
voronoi,COMP-Y-DENSIFI-STRAIN,HOLD_VF60,VF60,VF30|VF45,VF60,20,10,SFX012|SFX016|SFX008|SFX041|SFX040|SFX030|SFX034|SFX038
voronoi,COMP-Y-EAE,HOLD_VF30,VF30,VF45|VF60,VF30,20,10,SFX007|SFX037|SFX015|SFX006|SFX033|SFX011|SFX032|SFX005
voronoi,COMP-Y-EAE,HOLD_VF45,VF45,VF30|VF60,VF45,20,10,SFX044|SFX017|SFX013|SFX012|SFX020|SFX021|SFX015|SFX016
voronoi,COMP-Y-EAE,HOLD_VF60,VF60,VF30|VF45,VF60,20,10,SFX032|SFX012|SFX005|SFX006|SFX033|SFX016|SFX011|SFX015
voronoi,COMP-Y-SE,HOLD_VF30,VF30,VF45|VF60,VF30,20,10,SFX037|SFX007|SFX015|SFX006|SFX033|SFX011|SFX032|SFX026
voronoi,COMP-Y-SE,HOLD_VF45,VF45,VF30|VF60,VF45,20,10,SFX044|SFX017|SFX021|SFX031|SFX013|SFX020|SFX037|SFX015
voronoi,COMP-Y-SE,HOLD_VF60,VF60,VF30|VF45,VF60,20,10,SFX032|SFX012|SFX005|SFX006|SFX033|SFX041|SFX016|SFX011
voronoi,COMP-Y-TOTAL-ENERGY,HOLD_VF30,VF30,VF45|VF60,VF30,20,10,SFX012|SFX016|SFX022|SFX026|SFX018|SFX030|SFX008|SFX020
voronoi,COMP-Y-TOTAL-ENERGY,HOLD_VF45,VF45,VF30|VF60,VF45,20,10,SFX020|SFX022|SFX012|SFX016|SFX037|SFX008|SFX030|SFX011
voronoi,COMP-Y-TOTAL-ENERGY,HOLD_VF60,VF60,VF30|VF45,VF60,20,10,SFX012|SFX016|SFX008|SFX030|SFX018|SFX022|SFX020|SFX011
voronoi,COMP-Y-SEA,HOLD_VF30,VF30,VF45|VF60,VF30,20,10,SFX012|SFX016|SFX030|SFX026|SFX018|SFX022|SFX020|SFX008
voronoi,COMP-Y-SEA,HOLD_VF45,VF45,VF30|VF60,VF45,20,10,SFX012|SFX016|SFX008|SFX030|SFX018|SFX043|SFX020|SFX026
voronoi,COMP-Y-SEA,HOLD_VF60,VF60,VF30|VF45,VF60,20,10,SFX012|SFX016|SFX008|SFX030|SFX018|SFX041|SFX034|SFX038
voronoi,COMP-Y-MAX-PLATEAU-STRESS,HOLD_VF30,VF30,VF45|VF60,VF30,20,10,SFX024|SFX028|SFX014|SFX020|SFX022|SFX045|SFX029|SFX023
voronoi,COMP-Y-MAX-PLATEAU-STRESS,HOLD_VF45,VF45,VF30|VF60,VF45,20,10,SFX022|SFX004|SFX039|SFX020|SFX019|SFX021|SFX040|SFX041
voronoi,COMP-Y-MAX-PLATEAU-STRESS,HOLD_VF60,VF60,VF30|VF45,VF60,20,10,SFX034|SFX038|SFX004|SFX040|SFX041|SFX033|SFX007|SFX005
