source_key,model_id,family,source_path,source_sha256,triangle_count,boundary_edge_count,nonmanifold_edge_count,orientation_conflict_edge_count,normal_winding_consistent,is_watertight_after_weld,connected_component_count,topology_clean,current_hq_v0_3_admission,evidence_status
LAT,HQ-GEOM-001-LATTICE-A,Lattice Type A,C:\Users\chuck\Documents\Codex\2026-06-22\a2f23dee1d9a824b840a0175ca9a1f4b-https-app-notion-com-p\URP4-1_DELIVERABLE\outputs\smoke_full_descriptor\HQ-66fa90d8b968_20260728_144604_055706\geometry\HQ-SMOKE-GEN-LATTICE.stl,001410b8c1038bb08d325a08670b2e57c739f51a25ded2a945d38402e781ea51,253184,0,6798,0,True,False,8392,False,rejected_fail_closed,confirmed_nonclean_source
TPM,HQ-GEOM-001-TPMS-GYROID,TPMS multiwall gyroid,C:\Users\chuck\Documents\Codex\2026-06-22\a2f23dee1d9a824b840a0175ca9a1f4b-https-app-notion-com-p\URP4-1_DELIVERABLE\outputs\smoke_full_descriptor\HQ-d1b31e3c2fef_20260728_145124_570029\geometry\TPMS_multiwall_gyroid_A-B_000000.stl,e79da43fc348eb9fb98460e94da0995cbbd0755203f3ec19a8c9c5ab056f6ed5,168584,0,103,73,True,True,1,False,rejected_fail_closed,confirmed_nonclean_source
