batch,candidates,finite,bank,values,blocks,replay_prior,replay_cohort,no_y,status
144,12,696,506,29348,382,True,True,True,PASS
146,18,1044,524,30392,395,True,True,True,PASS
148,18,1044,542,31436,411,True,True,True,PASS
