model_id,component_scope,slice_index_a,slice_index_b,pair_index,component_index,red_px,blue_px,purple_px,combined_px,red_area,blue_area,purple_area,combined_area,rp_contact_length,bp_contact_length,combined_perimeter_length,mass_weight_area,physical_weight_volume,mass_orientation,thickness_sqrt_red_purple,thickness_area_red_purple,thickness_equiv_diameter_red_purple,pa_current_red_purple,pa_pixel_unit_red_purple,leff_contact_sum,leff_change_area_over_contact,leff_combined_area_over_perimeter,angle_current_2h_contact_sum,angle_h_contact_sum,angle_h_change_area_over_contact,angle_h_combined_area_over_perimeter,curvature_current_contact_sum_over_2h,curvature_area_over_h_contact_sum,curvature_area_over_h_change_contact,curvature_area_over_h_perimeter_leff,connectivity,min_component_pixels
F1,overlay_union,0,1,0,1,0,4392,0,4392,0.0,7.027200000000001,0.0,7.027200000000001,0.0,0.0,11.256568541526795,3.5136000000000003,0.17568000000000003,0.0,0.0,0.0,,,,,,0.6242755040380059,,,,4.5792069106081685,,,,225.13137083053587,8,2
F1,overlay_union,0,1,0,2,0,1400,0,1400,0.0,2.24,0.0,2.24,0.0,0.0,7.04,1.12,0.05600000000000001,0.0,0.0,0.0,,,,,,0.31818181818181823,,,,8.930590100418996,,,,140.8,8,2
F1,overlay_union,0,1,0,3,0,4391,0,4391,0.0,7.025600000000001,0.0,7.025600000000001,0.0,0.0,11.200000000000001,3.5128000000000004,0.17564000000000002,0.0,0.0,0.0,,,,,,0.6272857142857143,,,,4.55732506263323,,,,224.0,8,2
F1,overlay_union,0,1,0,4,0,1400,0,1400,0.0,2.24,0.0,2.24,0.0,0.0,7.04,1.12,0.05600000000000001,0.0,0.0,0.0,,,,,,0.31818181818181823,,,,8.930590100418996,,,,140.8,8,2
F1,overlay_union,0,1,0,5,0,4436,0,4436,0.0,7.0976,0.0,7.0976,0.0,0.0,11.28,3.5488,0.17744000000000001,0.0,0.0,0.0,,,,,,0.6292198581560284,,,,4.543375150335505,,,,225.59999999999997,8,2
F1,overlay_union,0,1,0,6,0,1400,0,1400,0.0,2.24,0.0,2.24,0.0,0.0,7.04,1.12,0.05600000000000001,0.0,0.0,0.0,,,,,,0.31818181818181823,,,,8.930590100418996,,,,140.8,8,2
F1,overlay_union,0,1,0,7,0,4391,0,4391,0.0,7.025600000000001,0.0,7.025600000000001,0.0,0.0,11.200000000000001,3.5128000000000004,0.17564000000000002,0.0,0.0,0.0,,,,,,0.6272857142857143,,,,4.55732506263323,,,,224.0,8,2
F1,overlay_union,0,1,0,8,0,1400,0,1400,0.0,2.24,0.0,2.24,0.0,0.0,7.04,1.12,0.05600000000000001,0.0,0.0,0.0,,,,,,0.31818181818181823,,,,8.930590100418996,,,,140.8,8,2
F1,overlay_union,0,1,0,9,0,4392,0,4392,0.0,7.027200000000001,0.0,7.027200000000001,0.0,0.0,11.256568541526795,3.5136000000000003,0.17568000000000003,0.0,0.0,0.0,,,,,,0.6242755040380059,,,,4.5792069106081685,,,,225.13137083053587,8,2
F1,overlay_union,0,1,0,10,0,1400,0,1400,0.0,2.24,0.0,2.24,0.0,0.0,7.04,1.12,0.05600000000000001,0.0,0.0,0.0,,,,,,0.31818181818181823,,,,8.930590100418996,,,,140.8,8,2
F1,overlay_union,1,2,1,1,0,261,4392,4653,0.0,0.4176,7.027200000000001,7.444800000000001,0.0,10.28,11.52,7.236000000000001,0.36180000000000007,0.9711442786069652,2.6508866441249426,7.027200000000001,2.991205263562321,1.6018568621252838,0.06407427448501135,0.04062256809338522,0.04062256809338522,0.6462500000000001,67.89174766049632,50.90781976663282,50.90781976663282,4.424128713560591,0.4062256809338522,205.59999999999994,205.59999999999994,12.923791102514505,8,2
