model_id,nearest_model_id,standardized_rms_distance,exact_collision
AI001,AI063,0.8875515559102372,False
AI002,AI037,0.7638574844439444,False
AI003,AI026,1.040762668453895,False
AI004,AI017,0.6272985180873495,False
AI005,AI043,0.7312204450917641,False
AI006,AI043,0.747050630261506,False
AI007,AI019,0.6945615910695369,False
AI008,AI007,0.9441797121135395,False
AI009,AI016,0.8479949718811814,False
AI010,AI022,0.7289762014786378,False
AI011,AI046,0.6684269026433324,False
AI012,AI015,0.8024686407970771,False
AI013,AI022,0.8597149634475681,False
AI014,AI049,0.7854812947549258,False
AI015,AI012,0.8024686407970771,False
AI016,AI009,0.8479949718811814,False
AI017,AI004,0.6272985180873495,False
AI018,AI004,0.7230609213378462,False
AI019,AI007,0.6945615910695369,False
AI020,AI021,0.7541221008759145,False
AI021,AI023,0.6764493747189985,False
AI022,AI010,0.7289762014786378,False
AI023,AI004,0.6574601125850295,False
AI024,AI027,0.5459541454759385,False
AI025,AI024,0.9234788801975262,False
AI026,AI047,0.9131466380557914,False
AI027,AI024,0.5459541454759385,False
AI028,AI018,0.9189678237013337,False
AI029,AI001,0.9116174254280859,False
AI030,AI017,0.7544606843854409,False
AI031,AI021,0.7322247152886591,False
AI032,AI027,0.5945031119133436,False
AI033,AI012,0.8823173827801972,False
AI034,AI021,0.9322171793810042,False
AI035,AI042,0.7284871835134269,False
AI036,AI010,0.8479454719587863,False
AI037,AI048,0.7360034307654492,False
AI038,AI042,0.7019321791859042,False
AI039,AI044,0.9258152301280667,False
AI040,AI049,0.7302034433394577,False
AI041,AI027,0.7627971523479959,False
AI042,AI038,0.7019321791859042,False
AI043,AI024,0.6086365022338371,False
AI044,AI035,0.8068500995890624,False
AI045,AI024,0.7283230114149175,False
AI046,AI011,0.6684269026433324,False
AI047,AI026,0.9131466380557914,False
AI048,AI037,0.7360034307654492,False
AI049,AI040,0.7302034433394577,False
AI050,AI045,0.7507114619383829,False
AI051,AI058,0.7654225728468808,False
AI052,AI054,0.6447856570580105,False
AI053,AI074,0.6074864217127219,False
AI054,AI077,0.5559287419642461,False
AI055,AI065,0.6310297110021857,False
AI056,AI089,0.8731625997786386,False
AI057,AI100,0.8645508790733047,False
AI058,AI060,0.6612596350681474,False
AI059,AI093,0.7887418241266375,False
AI060,AI058,0.6612596350681474,False
AI061,AI052,0.7072810367721422,False
AI062,AI086,0.742086397622671,False
AI063,AI067,0.7555358580422927,False
AI064,AI089,0.8536265912812875,False
AI065,AI055,0.6310297110021857,False
AI066,AI110,0.7424274937804726,False
AI067,AI086,0.6620162581315558,False
AI068,AI073,0.7412535902117411,False
AI069,AI093,0.7028581553724124,False
AI070,AI079,0.7869795239817385,False
AI071,AI052,0.7148243031520127,False
AI072,AI052,0.7302035615001881,False
AI073,AI068,0.7412535902117411,False
AI074,AI053,0.6074864217127219,False
AI075,AI135,1.0207633061648516,False
AI076,AI064,0.9021756153084599,False
AI077,AI054,0.5559287419642461,False
AI078,AI072,0.752027884162781,False
AI079,AI095,0.7488188330013278,False
AI080,AI065,0.8061270411565707,False
AI081,AI054,0.824375937377826,False
AI082,AI055,0.7412717611620657,False
AI083,AI054,0.6719001592472171,False
AI084,AI077,0.7086659246339805,False
AI085,AI088,0.7769562447186896,False
AI086,AI054,0.646991026724992,False
AI087,AI080,0.8099386160784195,False
AI088,AI065,0.6459418927010585,False
AI089,AI084,0.7144538207942798,False
AI090,AI120,0.892109675191103,False
AI091,AI066,0.9032668785895036,False
AI093,AI069,0.7028581553724124,False
AI094,AI054,0.764492566063488,False
AI095,AI093,0.7400522568161186,False
AI096,AI068,0.8346734108796857,False
AI097,AI108,0.7558226713723603,False
AI098,AI109,0.8540720930485852,False
AI099,AI067,0.8335433261799329,False
AI100,AI065,0.8020222228931916,False
AI101,AI148,0.6798699532873572,False
AI102,AI110,0.722345930482243,False
AI103,AI139,0.6844465788928825,False
AI104,AI134,0.6808174282953134,False
AI105,AI139,0.8202056778593909,False
AI106,AI139,0.713862043496725,False
AI107,AI110,0.7263235022936817,False
AI108,AI146,0.7175887543730747,False
AI109,AI141,0.6098062675517195,False
AI110,AI102,0.722345930482243,False
AI111,AI139,0.9103274187179518,False
AI112,AI126,0.6905614721824418,False
AI113,AI149,0.7435288553250866,False
AI114,AI113,1.0035409969220084,False
AI115,AI142,0.692477941851646,False
AI116,AI127,0.8321189275150355,False
AI117,AI126,0.5936596083042247,False
AI118,AI120,0.9343616498974157,False
AI119,AI134,0.9838166274207751,False
AI120,AI138,0.7612722292014507,False
AI121,AI142,0.6986008906402289,False
AI122,AI127,0.886706010580176,False
AI123,AI135,0.7895848304821318,False
AI124,AI072,0.811843382629841,False
AI125,AI150,0.9262939653893827,False
AI126,AI117,0.5936596083042247,False
AI127,AI136,0.7853886892755637,False
AI128,AI139,0.76379398435397,False
AI129,AI128,0.871052144463449,False
AI130,AI065,0.823729889572707,False
AI131,AI110,0.7391299991131222,False
AI132,AI137,0.6050518930623046,False
AI133,AI110,0.7809354067175049,False
AI134,AI104,0.6808174282953134,False
AI135,AI093,0.7486564139200982,False
AI136,AI127,0.7853886892755637,False
AI137,AI132,0.6050518930623046,False
AI138,AI117,0.6364218556302375,False
AI139,AI147,0.6311510900581495,False
AI140,AI149,0.7994160233204749,False
AI141,AI109,0.6098062675517195,False
AI142,AI117,0.6427314441534064,False
AI143,AI083,0.8276557126057954,False
AI144,AI139,0.716267448352619,False
AI145,AI150,0.8086548567053143,False
AI146,AI108,0.7175887543730747,False
AI147,AI139,0.6311510900581495,False
AI148,AI101,0.6798699532873572,False
AI149,AI148,0.6918917738130801,False
AI150,AI117,0.6797271309690034,False
