formula_id,statistic,value,population_n,observed_value,abs_error,population_n_exact,status
XRV1-F001,mean,0.28825516229712855,801,0.2882551622971285,5.551115123125783e-17,True,passed
XRV1-F002,std_pop_ddof0,0.09829414814233522,801,0.0982941481423352,2.7755575615628914e-17,True,passed
XRV1-F003,mean,49.320848938826465,801,49.32084893882647,7.105427357601002e-15,True,passed
XRV1-F004,std_pop_ddof0,30.825199692917913,801,30.825199692917916,3.552713678800501e-15,True,passed
XRV1-F005,mean,0.0554537365774859,800,0.0554537365774859,0.0,True,passed
XRV1-F006,mean,0.944546263422514,800,0.944546263422514,0.0,True,passed
XRV1-F007,mean,2.9592604390033115,38187,2.9592604390033115,0.0,True,passed
XRV1-F007,std_pop_ddof0,0.9575777509471218,38187,0.9575777509471218,0.0,True,passed
XRV1-F008,mean,0.9720345419841843,38187,0.9720345419841844,1.1102230246251565e-16,True,passed
