analysis_bbox_extent_mm,analysis_uniform_scale,family,interior_gate_slice,model_id,normalization_mode,normalization_status,occupancy_gate_pass,p1000_area_fraction,p1000_mask_sha256,p1000_max_abs_winding,p1000_solid_pixels,p500_area_fraction,p500_mask_sha256,p500_max_abs_winding,p500_solid_pixels,p500_upsampled_vs_p1000_area_difference,p500_upsampled_vs_p1000_iou,resolution_gate_pass,run_id,segment_count,slice_gate_pass,slice_index,source_bbox_center_mm,source_bbox_extent_mm,source_geometry_sha256,source_triangle_count,z_active_triangle_count,z_mm
"[40.0, 40.0, 40.0]",1.0,F,True,F1,uniform_bbox_to_expected,already_expected_size,True,0.245948,2f0c683f4d146e29682810e1cad12a1e9fdfc34af5947d555b1705ccf1bd5299,1,245948,0.2458,d981eb693f55dedd3974c35556b9aef2c644a09b555a8501408b5e3587b1caab,1,61450,0.0006017532161269862,0.9490451918732313,False,IMSTL-006-20260728-002,1346,False,200,"[20.0, 20.0, 20.0]","[40.0, 40.0, 40.0]",d76883bc10af4f4b3817ccbe90b2863f97c9b843f30c5214cde81d2f76fdb0f8,52400,1346,10.0
"[40.0, 40.0, 40.0]",1.0,F,True,F1,uniform_bbox_to_expected,already_expected_size,True,0.38315,d0654415b142198b795c589b4df284d45d78efd6ad9d8f1bf21740ea61f22e73,3,383150,0.38304,ae1109de5cc5621bb5d79e9903681b7f7a9812b203780cfb2eda0adf7174a564,7,95760,0.00028709382748270913,0.9813653031564683,True,IMSTL-006-20260728-002,1680,True,400,"[20.0, 20.0, 20.0]","[40.0, 40.0, 40.0]",d76883bc10af4f4b3817ccbe90b2863f97c9b843f30c5214cde81d2f76fdb0f8,52400,1680,20.0
"[40.0, 40.0, 40.0]",1.0,F,True,F1,uniform_bbox_to_expected,already_expected_size,True,0.245948,a884eeffa5c2a5a996131cd7fc95b59fd756f97488f463e2223fd86913112a2c,1,245948,0.2458,c22e701a89c8b832b2892a26a9f60d9e01728b5fc09dba30d882ae4c44cae84a,1,61450,0.0006017532161269862,0.9490451918732313,False,IMSTL-006-20260728-002,1346,False,600,"[20.0, 20.0, 20.0]","[40.0, 40.0, 40.0]",d76883bc10af4f4b3817ccbe90b2863f97c9b843f30c5214cde81d2f76fdb0f8,52400,1346,30.0
"[40.0, 40.0, 40.0]",1.0,F,True,F1,uniform_bbox_to_expected,already_expected_size,True,0.39703,27abae3802f41048cfe2828698f2687b6950d10d2b55997eb4f9aa62a5ad2a9a,1,397030,0.397528,16ef72c887db013d92e127571d15f90efa3594ab1e89860d7863d61afcc6ea80,1,99382,0.0012527419452214687,0.9719210991323685,True,IMSTL-006-20260728-002,1765,True,700,"[20.0, 20.0, 20.0]","[40.0, 40.0, 40.0]",d76883bc10af4f4b3817ccbe90b2863f97c9b843f30c5214cde81d2f76fdb0f8,52400,1765,35.0
"[40.0, 40.0, 40.0]",1.0,F,True,F1,uniform_bbox_to_expected,already_expected_size,True,0.029002,23478839dc9c5f4cb9d61adc6f54b42a431a9e2bd6ce53637b62bcbc8c90f05c,1,29002,0.029296,bd8202b39e11e2457c587db5bb891fe4fbea7e7a145fba791a2f3511b03672b2,1,7324,0.010035499726925178,0.9606511064774332,True,IMSTL-006-20260728-002,185,True,799,"[20.0, 20.0, 20.0]","[40.0, 40.0, 40.0]",d76883bc10af4f4b3817ccbe90b2863f97c9b843f30c5214cde81d2f76fdb0f8,52400,185,39.95
"[40.0, 40.0, 40.0]",1.0,F,False,F1,uniform_bbox_to_expected,already_expected_size,True,0.0,923b0ffd1a22207230ef2d9a76434d8c9aa6bdaa7ad9541abf0bf3b2fe32a987,0,0,0.0,582528b8a9823c04b81c37c43d24fd4578b09432312da884b566eb71dccc38d1,0,0,0.0,1.0,True,IMSTL-006-20260728-002,10,True,800,"[20.0, 20.0, 20.0]","[40.0, 40.0, 40.0]",d76883bc10af4f4b3817ccbe90b2863f97c9b843f30c5214cde81d2f76fdb0f8,52400,65,39.99999999999999
"[40.0, 40.0, 40.0]",1.0,T,False,T1,uniform_bbox_to_expected,already_expected_size,True,0.0,923b0ffd1a22207230ef2d9a76434d8c9aa6bdaa7ad9541abf0bf3b2fe32a987,0,0,0.0,582528b8a9823c04b81c37c43d24fd4578b09432312da884b566eb71dccc38d1,0,0,0.0,1.0,True,IMSTL-006-20260728-002,0,True,0,"[20.0, 20.0, 20.0]","[40.0, 40.0, 40.0]",cc158c6485dcdabace8d5fde7d1c2f00e59e29cca05c8a6a73b8f72b21c07575,1911600,70,5e-324
"[40.0, 40.0, 40.0]",1.0,T,True,T1,uniform_bbox_to_expected,already_expected_size,True,0.232248,563973e69945bbaf6d3c2d12fc51d2730c7d57b171812f1a91078c97e75534be,1,232248,0.232912,a7df238be555118e122a70b2c220226444664b9b706fa173c9fc72578d569738,1,58228,0.0028508621281857524,0.9699485025071148,True,IMSTL-006-20260728-002,7300,True,1,"[20.0, 20.0, 20.0]","[40.0, 40.0, 40.0]",cc158c6485dcdabace8d5fde7d1c2f00e59e29cca05c8a6a73b8f72b21c07575,1911600,7300,0.05
"[40.0, 40.0, 40.0]",1.0,T,True,T1,uniform_bbox_to_expected,already_expected_size,True,0.276758,2e2f1c4d6d41a28b6e96f8e2dfe1afae0ded08216e12a03081b572c54b8af37d,12,276758,0.277972,924e45e6aef90d491c32d9568ab5e3aadc6f0de8796fd5a3e8e42ae8e914832f,21,69493,0.00436734635143108,0.9734258271077908,True,IMSTL-006-20260728-002,8430,True,100,"[20.0, 20.0, 20.0]","[40.0, 40.0, 40.0]",cc158c6485dcdabace8d5fde7d1c2f00e59e29cca05c8a6a73b8f72b21c07575,1911600,8430,5.0
"[40.0, 40.0, 40.0]",1.0,T,True,T1,uniform_bbox_to_expected,already_expected_size,True,0.400482,84c78e044a0628b7db608d3ac0bcc39dc914433a1809d73b62ff5646401cc581,14,400482,0.399736,388b8911dadc95785227794cd5d123327521dd53a7a92d5457a3d9f78b2b4f77,25,99934,0.0018627553797673803,0.9760323190817904,True,IMSTL-006-20260728-002,9860,True,200,"[20.0, 20.0, 20.0]","[40.0, 40.0, 40.0]",cc158c6485dcdabace8d5fde7d1c2f00e59e29cca05c8a6a73b8f72b21c07575,1911600,9860,10.0
"[40.0, 40.0, 40.0]",1.0,T,True,T1,uniform_bbox_to_expected,already_expected_size,True,0.236402,de11f39c2442b0cd1e81aec471183ae2bf2aaa57e079ec73e885fc5097b826d0,12,236402,0.237544,fb76d15764d1be1b0cb027c49129de75176f1ece8c6bd302c85bee35b291b3c8,22,59386,0.0048075303943690435,0.9703253485877726,True,IMSTL-006-20260728-002,5338,True,400,"[20.0, 20.0, 20.0]","[40.0, 40.0, 40.0]",cc158c6485dcdabace8d5fde7d1c2f00e59e29cca05c8a6a73b8f72b21c07575,1911600,7632,20.0
"[40.0, 40.0, 40.0]",1.0,T,True,T1,uniform_bbox_to_expected,already_expected_size,True,0.40048,f912e8a55c2b34d9192413d8bf38f2ef8ae82c280a49faa30bf7b64a0d823f92,14,400480,0.399736,a3e5963203a23a0d8257dcb23501b98b2ee0d6d73de0b1d6115bc7a0d54a899f,25,99934,0.0018577706751897723,0.976037139470565,True,IMSTL-006-20260728-002,9860,True,600,"[20.0, 20.0, 20.0]","[40.0, 40.0, 40.0]",cc158c6485dcdabace8d5fde7d1c2f00e59e29cca05c8a6a73b8f72b21c07575,1911600,9860,30.0
"[40.0, 40.0, 40.0]",1.0,T,True,T1,uniform_bbox_to_expected,already_expected_size,True,0.276762,11dac53b2dd57fb90803cad798f15adce5c2930829799275b2da2a674ddf916f,12,276762,0.277972,129e816aadf4d00b587b45f45e7a840a256553bdbd6721d3d83cf9e44ea7a412,26,69493,0.004352956412876117,0.9734260161791806,True,IMSTL-006-20260728-002,8430,True,700,"[20.0, 20.0, 20.0]","[40.0, 40.0, 40.0]",cc158c6485dcdabace8d5fde7d1c2f00e59e29cca05c8a6a73b8f72b21c07575,1911600,8430,35.0
"[40.0, 40.0, 40.0]",1.0,T,True,T1,uniform_bbox_to_expected,already_expected_size,True,0.232248,4fefcdd5b7c0958aa6edc59ba5743632e740a11fa98fdc1f6145e073c5b539a4,1,232248,0.232912,eb1faecd2e93d75a6cf2d4b353bf899407d10110bd1cb71cd0c6f4a314c6aafe,1,58228,0.0028508621281857524,0.9699485025071148,True,IMSTL-006-20260728-002,7300,True,799,"[20.0, 20.0, 20.0]","[40.0, 40.0, 40.0]",cc158c6485dcdabace8d5fde7d1c2f00e59e29cca05c8a6a73b8f72b21c07575,1911600,7300,39.95
"[40.0, 40.0, 40.0]",1.0,T,False,T1,uniform_bbox_to_expected,already_expected_size,True,0.0,923b0ffd1a22207230ef2d9a76434d8c9aa6bdaa7ad9541abf0bf3b2fe32a987,0,0,0.0,582528b8a9823c04b81c37c43d24fd4578b09432312da884b566eb71dccc38d1,0,0,0.0,1.0,True,IMSTL-006-20260728-002,0,True,800,"[20.0, 20.0, 20.0]","[40.0, 40.0, 40.0]",cc158c6485dcdabace8d5fde7d1c2f00e59e29cca05c8a6a73b8f72b21c07575,1911600,250,39.99999999999999
