slice_index,z_mm,foreground_pixels,png_sha256
0,5e-324,571000,7ff9e3b82f2ae1e49bf4e7389fba85da64c57fde430ca00197a7cf72bae4d2ed
1,0.04999999999999999,571000,7ff9e3b82f2ae1e49bf4e7389fba85da64c57fde430ca00197a7cf72bae4d2ed
2,0.09999999999999998,571600,5038a198c4b4c7d59cdcd6889abec03853d35b71cd58c3d25782d1b9a73c97c6
3,0.14999999999999997,572200,684f2363e7c8c73563cb5880b2dcad05319178d31e5e68a6225e8c3a3df2c3f4
4,0.19999999999999996,573000,dcbd70d106f48f5606ab88872133cdadc059f5d92e78d061166a35913b182bca
5,0.24999999999999994,574000,1668f86667534b8f44cd6b514b4dfe0c5e442e1b08386c0f33186516ad9bfa99
6,0.29999999999999993,576600,da6028fa5ec997720135f8d58514075e621da213426e7b109d01d8de7cae6e3e
7,0.3499999999999999,578200,4db64431d7019024ede986e69d1e05588d701c8cc6283808e343c79c3bd7027e
8,0.3999999999999999,580000,743cb079060e6279f0cc4c96106abcb403e012ea40fdd0901ee08cd8e479be20
9,0.4499999999999999,582000,327debeb699fee9374f4c726ceb0e1073d9854f3355a0ace72d275f28653311e
10,0.4999999999999999,586600,bcb53af98751810c27a560cad464618f4800c9fd20aeed416c1f378428c85ce1
11,0.5499999999999998,589200,75c20de445f30d4769217df0d63fde789849f39c66f996d8d1d78196ccfdcee3
12,0.5999999999999999,156800,ff234a5fc7ce735e550d4e7e2f33299a238dd2b2368dfa67e61f74bda8d099c6
13,0.6499999999999999,162398,4eddccd797a9dc956e0ab71bef9dcd69a0673fdb7aa9c7837d0095604d20a905
14,0.6999999999999998,173600,1dc10175eb4ea4dde02c11e5582e3e8def4e4f0b290f2cabce354a713ba363cc
15,0.7499999999999998,179200,810c75b091a7c8fa6091f2274c135cc6e43198b803a3a441a18c438ea9ceae3f
16,0.7999999999999998,184800,e9d5679d2de0b51a76dc44aa682adfb25b816fe052a8794ff3fe913df94b6e4d
17,0.8499999999999999,190300,0335b6267b4e38f5674cff991294bb07d416da41b917ea8f2b234076db20a026
18,0.8999999999999998,201200,4a6791dcd134ff9741b600630097206d5295e7e7863e022a42315f8ccc4f8e5b
19,0.9499999999999997,205600,37762b9c48eb58fca5745a2306fec1a2cb7cbeaae28617966cf2faef10bc178a
20,0.9999999999999998,210300,17eb8c75c627961021cd2bf69764a973e5b9b2a2ddb5d001af32375bbc05a29a
21,1.0499999999999998,214800,56243ad78514be2d2f8f317a46c5930f578987daf451151bd837a0b3309e980c
