alias,status,expected,actual,file_count,bytes
TRAIN-5TH-FIXED,passed,238b7092c5532c695a6f2c8edeb6aa0ae26177bd63fa0f4ebd98754091dfae69,238b7092c5532c695a6f2c8edeb6aa0ae26177bd63fa0f4ebd98754091dfae69,1,493740
NB-CURRENT-V0-1,passed,efd5dbfdc44e3fb36e8f02286de1a29a33c0b0f1b1b3589970cc60996bfe1230,efd5dbfdc44e3fb36e8f02286de1a29a33c0b0f1b1b3589970cc60996bfe1230,1,333071
NB-CURRENT-V0-1-E2E,passed,91515be223128e55bb93ca2397fdbdbe46c7b3ed2de1515324e58f8036a4f9ea,91515be223128e55bb93ca2397fdbdbe46c7b3ed2de1515324e58f8036a4f9ea,1,333077
NB-CURRENT,passed,29131ce5f3d8d59cf6a7211d963a23f85c14f950ea335bbd237b52a7ff76980f,29131ce5f3d8d59cf6a7211d963a23f85c14f950ea335bbd237b52a7ff76980f,1,333631
NB-CURRENT-E2E-SAFE,passed,a4b55a366786cd442e2cca59f8bda89229d81e623b97af5bc89db51ac0768759,a4b55a366786cd442e2cca59f8bda89229d81e623b97af5bc89db51ac0768759,1,333637
NB-COMPAT-LEGACY-PNG-V0-1,passed,b96644efb1a3328adbfe8399e1497ff56b06fe4c82d61ceaea56fd9d5521919f,b96644efb1a3328adbfe8399e1497ff56b06fe4c82d61ceaea56fd9d5521919f,1,347587
LEGACY-PY-RAWDATA,passed,1e52abc000cda8faaf3edbcc834278d4d7669e825683098376dd87e44a88a536,1e52abc000cda8faaf3edbcc834278d4d7669e825683098376dd87e44a88a536,1,20739
LEGACY-PY-RESULT,passed,cdaea5ef1262ca0ea79a7b8ce16a15f435037e779e2688bdecbe80400b3d5c47,cdaea5ef1262ca0ea79a7b8ce16a15f435037e779e2688bdecbe80400b3d5c47,1,11385
LEGACY-PY-ANGLE-ALL,passed,8a64d05839a606df15055d7c9d84565aa889b5e0c63b57b7f27e19ad76f92ceb,8a64d05839a606df15055d7c9d84565aa889b5e0c63b57b7f27e19ad76f92ceb,1,10566
LEGACY-PY-CURVATURE,passed,373e3763c735e775565ef2d2da4b90f866ff5cfff3c85b5d0150b0b17a90f42a,373e3763c735e775565ef2d2da4b90f866ff5cfff3c85b5d0150b0b17a90f42a,1,19070
LEGACY-PY-EXTRACT-STRUCT,passed,81b2c8ab202b6a4e539a2d630363027b9d146379cbe687945277e0053d2e8b10,81b2c8ab202b6a4e539a2d630363027b9d146379cbe687945277e0053d2e8b10,1,39836
NB-ORIG,passed,47aa3889f61d7e4bfbca37b65286e6b7ad81cf185ab4dd86ebdc263af5d8b7b7,47aa3889f61d7e4bfbca37b65286e6b7ad81cf185ab4dd86ebdc263af5d8b7b7,1,332721
LEGACY-PY-PARAMDIST,passed,2dfec52592e0195482fc99613a63a3a021b7a427a078efdb79dc836f9296a453,2dfec52592e0195482fc99613a63a3a021b7a427a078efdb79dc836f9296a453,1,5388
MASTER-LEDGER-DRAFT,passed,04ee7a4b47b969db8baf09d226c6a0c549477c00a7de5247baa82f03188930f2,04ee7a4b47b969db8baf09d226c6a0c549477c00a7de5247baa82f03188930f2,1,544403
source_spreadsheet,passed,4a6ec7d03d92fa25851998689768d9db9f63227f00e778a528d758b368851dce,4a6ec7d03d92fa25851998689768d9db9f63227f00e778a528d758b368851dce,1,452552
source_spreadsheet,passed,3c0915a3bff3c6b3fa1b47b6b63381eb3d7f06777f1eda8b09e327d4e20b7cca,3c0915a3bff3c6b3fa1b47b6b63381eb3d7f06777f1eda8b09e327d4e20b7cca,1,434120
HQ-V0.1-OFFICIAL,passed,6ad6761d0274fa6b41eefed0233aee7cc849bf276e626b13342b13e2889dae40,6ad6761d0274fa6b41eefed0233aee7cc849bf276e626b13342b13e2889dae40,1,8740
HQ-CLEAN-SUBMISSION-ZIP,passed,7e6fd75715961bb3653e20333f8bda1d140b78d3b01eac8cb604402d481ecb9c,7e6fd75715961bb3653e20333f8bda1d140b78d3b01eac8cb604402d481ecb9c,1,24688176
HQ-CLEAN-SUBMISSION-FOLDER,passed,c2ebeffe7c0d61d8ff3d50ecbeac0b5d7115419c6d2dcb200090de5cbb95016d,c2ebeffe7c0d61d8ff3d50ecbeac0b5d7115419c6d2dcb200090de5cbb95016d,285,154708371
IMSTL-007-ACCEPTED-RESULT,passed,8bb2abc3825d2eeb0a4d35d88de09c951949fd110d9f3ac12ad1a46bf602bad7,8bb2abc3825d2eeb0a4d35d88de09c951949fd110d9f3ac12ad1a46bf602bad7,14,3452302
IMSTL-007-ACCEPTED-RUN,passed,a40f37be3a5ffa595e7e781c5c3b179ca122e47e1087b616d6c3be102c2524b0,a40f37be3a5ffa595e7e781c5c3b179ca122e47e1087b616d6c3be102c2524b0,146,2235192
