qa_id,check,expected,observed,status
FOLD-001,manifest_hash_roundtrip,3b18913ef68b6487b273a113ab3b3c0569d3246444f17003f68c0e01af1e89a6,3b18913ef68b6487b273a113ab3b3c0569d3246444f17003f68c0e01af1e89a6,PASS
FOLD-002,target_count,16,16,PASS
FOLD-003,outer_repeat_count_per_target,12,12,PASS
FOLD-004,inner_split_count_per_outer,24,24,PASS
FOLD-005,outer_group_leakage,0,0,PASS
FOLD-006,inner_group_leakage,0,0,PASS
