source_asset_alias,source_path,source_sha256,performance_sheet,excluded_sheet,used_rows,used_columns,accepted_model_rows,excluded_non_model_rows,status
COMP-Y-AILATTICE-001-150,experiments/lab_001_xy_connection_20260626/data/raw/doctor_compression_data_20260731/03_ai_lattice_summaries/Ai-Lattice_(1-50)_summary (1).xlsx,1A93F6067223AF6F30513E49FF4492D4ABBCCB44D74096196C5E72E39ABAF03D,Raw data,Summary,63,21,50,12,pass
COMP-Y-AILATTICE-001-150,experiments/lab_001_xy_connection_20260626/data/raw/doctor_compression_data_20260731/03_ai_lattice_summaries/Ai-Lattice_(51-100)_summary.xlsx,A7E4BA1A8BF00043AE0CF1D8B1115752D9166FCACBC32BEA456A56240A290674,Raw data,Summary,63,21,49,13,pass
COMP-Y-AILATTICE-001-150,experiments/lab_001_xy_connection_20260626/data/raw/doctor_compression_data_20260731/03_ai_lattice_summaries/Ai-Lattice_(101-150)_summary.xlsx,EFC66A5505C1553B1F8C02935FA1F444EC6C8B5D1DA8EA22C562DF02D9766D3D,Raw data,Summary,63,21,50,12,pass
COMP-X-STRUCTURAL-320,experiments/lab_001_xy_connection_20260626/data/raw/doctor_compression_data_20260731/01_structural_factors/Structural_Factors_All.xlsx,088255B6D35461B4ABCE0D11F160043169B8824DCE1B62D33D0D543548F9CDA1,Summary,Processing_Log,321,46,150,170,pass
