model_id,model_numeric_id,raw_sample_id,analysis_group_id,x__Type,x__Source,x__Target VF,x__Actual VF,x__Node 개수,x__Strut 개수,x__Global: Strut No. at Nodes-AVG,x__Global: Strut No. at Nodes-STDEV,x__Node: Strut count - AVG,x__Node: Strut count - STDEV,x__Global: Length - AVG,x__Global: Length - STDEV,x__Global: Angle-Z (weighted with length)-AVG,x__Global: Angle-Z (weighted with length)-STDEV,x__Node: Length - AVG,x__Node: Length - STDEV,x__Node: Angle-Z (weighted with length)-AVG,x__Node: Angle-Z (weighted with length)-STDEV,x__Global: l/d AVG,x__Global: l/d STDEV,x__Node: l/d AVG,x__Node: l/d STDEV,x__Global: Angle-X (weighted with length)-AVG,x__Global: Angle-X (weighted with length)-STDEV,x__Node: Angle-X (weighted with length)-AVG,x__Node: Angle-X (weighted with length)-STDEV,x__Global: Angle-Y (weighted with length)-AVG,x__Global: Angle-Y (weighted with length)-STDEV,x__Node: Angle-Y (weighted with length)-AVG,x__Node: Angle-Y (weighted with length)-STDEV,x__connected_components,x__maxwell_index_M_3D,x__total_strut_length_mm,x__mean_radius_mm,x__std_radius_mm,x__mean_diameter_mm,x__surface_area_mm2,x__surface_to_solid_volume_1_per_mm,x__solid_volume_mm3_approx,x__bbox_x_mm,x__bbox_y_mm,x__bbox_z_mm,x__mass_center_x_mm,x__mass_center_y_mm,x__mass_center_z_mm,meta__Weight,meta__VF,meta__Height,y__Modulus,y__Com. Strength,y__Com. strain,y__APS,y__AS,y__Yield strength,y__Yield strain,y__LCC,y__EAS,y__Densif. strength,y__Densifi. strain,y__EAE,y__SE,y__Total energy,y__SEA,y__Max. Plateau stress,"y__UCS 이후의 피크값(UCS 제외), 파단일 경우 APS 값으로 설정"
AI001,1,CP_Lattice_1.csv,AI-LATTICE-001,Imported,AI lattice_1-150_30 mm_merge.xlsx,0.3,0.3000769276002623,2441,9100,7.455960671855797,4.758577922139724,7.455960671855797,4.758577922139724,3.153693037532241,1.211817840287985,33.8894690096808,19.64123667145186,2.956268173353241,0.5660519213303821,33.78405806521321,8.762281333590465,5.260131258570681,2.021224268034766,4.930840903761883,0.9441335507065801,34.22700086279441,18.87144936919412,33.56640315318431,5.561957523714245,30.03296664022964,19.05725060898306,31.33078621844303,7.891944837103952,1,1783,28698.60664154438,0.2997732264184206,0,0.5995464528368412,54054.7075668344,6.671709891824758,8102.077045207083,30,30,30,0.04122724054326733,-0.07637322767247251,0.07505974146207274,8.4372,0.3298020645090234,30.16,88.427,8.085657894945369,0.6356206826600858,4.045386195276437,3.890746810270143,4.042828947472684,0.04768964817732708,0.2283582474953033,0.5745871844225606,5.356748355401306,0.5974243961879372,48.11911239408715,0.500316269601927,2.324427063845782,5.812129999582313,4.045386195276437,
AI002,2,CP_Lattice_2.csv,AI-LATTICE-002,Imported,AI lattice_1-150_30 mm_merge.xlsx,0.3,0.2998730206853766,2241,8950,7.987505577867024,4.909613844839289,7.987505577867024,4.909613844839289,3.173074609165342,1.285890399072355,27.78119595290317,22.33896666460652,3.013748643765992,0.5799264626212933,28.39321457025149,8.841223332903281,5.266551130040096,2.134273021750223,5.002107823004402,0.9625403569888702,32.17917202142156,22.08209490209721,32.22515362652719,8.473430462426247,36.21807905625222,22.83925719611033,36.03179395778124,7.130828214622388,1,2233,28399.01775203069,0.3012478689389639,0,0.6024957378779278,53753.55242858579,6.639051114433682,8096.571558505168,30,30,30,0.04724871277680937,0.1894816323328746,0.4372329252976977,8.4943,0.3324749970747841,30.12,78.175,9.524525737357576,0.7223049475227982,3.349747924064179,3.227606280383532,3.60929396363024,0.04806855974059372,0.1416898596291828,0.5580589470029459,3.108003135348262,0.5791774574829576,33.88731753565483,0.3516970835540534,1.86935679922856,4.636667754749804,3.349747924064179,
AI003,3,CP_Lattice_3.csv,AI-LATTICE-003,Imported,AI lattice_1-150_30 mm_merge.xlsx,0.3,0.3001214249898002,1741,7000,8.0413555427915,5.166927453610414,8.0413555427915,5.166927453610414,3.51785359529977,1.181711169421173,28.91453383911669,22.65762569084863,3.295518213220553,0.5471761294930717,28.79561486239085,10.70876855839271,5.434758124952367,1.825634354977018,5.091270543253718,0.8453364629829211,37.74111490025744,22.70515363721969,37.76434734859117,6.792288819427154,27.5997552873021,23.73966593291132,28.52508534116222,8.540835751832025,1,1783,24624.9751670992,0.3236439887865849,0,0.6472879775731698,50075.26019627704,6.179629683524962,8103.278474724604,30,30,30,0.3018902986125102,-0.3197437021603772,0.02470870855761703,7.8653,0.3084698193491252,30.06,96.239,9.257163509807247,0.7302993754933154,3.703489476606643,3.584140138993015,4.214350702908358,0.04563537017062737,0.1240947880024959,0.560375140337995,3.565989056307072,0.5790352371034285,38.71747685126115,0.4000674151086435,2.075343435193735,5.548173869233405,3.703489476606643,
AI004,4,CP_Lattice_4.csv,AI-LATTICE-004,Imported,AI lattice_1-150_30 mm_merge.xlsx,0.3,0.3003984516962799,1991,8445,8.483174284279256,5.002872860020463,8.483174284279256,5.002872860020463,3.306251742402218,1.554537778033897,29.19250089236693,25.20683649241112,2.95330334741607,0.7786021243643892,30.83434348515742,9.734905410755296,5.436481543657337,2.556132018265184,4.856127237723107,1.280258252774163,31.04241502514347,23.58514669999664,30.49407758799394,5.758751110879754,34.45000553481389,23.0552906925057,34.44339419531513,7.076185281236677,1,2478,27921.2959645876,0.3040801036342682,0,0.6081602072685364,53346.19463004892,6.577214280370994,8110.758195799557,30,30,30,0.1382531311781509,-0.02650061788229758,0.03551541465640226,8.0191,0.3131474498909911,30.19,79.363,9.225331037805137,0.7211600098641708,2.92951649299433,2.822299721213113,3.832060584934442,0.05027561105661865,0.2028577820656207,0.4236801943346771,2.625671141529155,0.4397754454388644,30.59293709512874,0.3175513681828064,1.24117811705848,3.268571553923112,2.92951649299433,
AI005,5,CP_Lattice_5.csv,AI-LATTICE-005,Imported,AI lattice_1-150_30 mm_merge.xlsx,0.3,0.2995713212171917,2191,8745,7.982656321314468,4.759385869413946,7.982656321314468,4.759385869413946,3.256483091884962,1.187097781498346,33.95076323705899,22.09296787634764,3.032331949643098,0.6613858738976753,34.25039877813337,5.266326408351492,5.415219805861109,1.974030030704891,5.042477902794163,1.099821427776653,33.25610406569208,24.52389574088891,32.94936876339082,6.331956025458783,29.73419076321951,22.76889689180613,30.83105447095824,7.143212765393683,1,2178,28477.94463853389,0.3006787543841101,0,0.6013575087682203,53801.11201692289,6.651617285353813,8088.425672864174,30,30,30,0.1355002349672119,-0.1161192526403611,0.107715238575074,8.9385,0.3491658588780666,30.18,81.996,19.57045100368654,0.7944808129121892,3.339027607072234,3.237477457688601,4.327774530896537,0.05465311244830586,0.1936173648075712,0.5713890328028963,3.214009026621693,0.5893118268286902,16.54268190895932,0.1706157720352613,1.907883754907173,4.506017811256703,3.339027607072234,
AI006,6,CP_Lattice_6.csv,AI-LATTICE-006,Imported,AI lattice_1-150_30 mm_merge.xlsx,0.3,0.2996683419176647,1941,7700,7.934054611025244,5.634739402961253,7.934054611025244,5.634739402961253,3.36413020258848,1.314342111932491,31.06616631301349,22.10985926969698,3.126403399996142,0.66062153710704,32.6068196481333,6.258735837504947,5.334542540843929,2.084168414151062,4.957576233014385,1.047555677358633,32.04884761374016,20.44711633172014,32.65672171372077,5.41585698937782,33.83537907951427,21.29934335367637,32.5024767594217,6.926749827008787,1,1883,25903.8025599319,0.3153157160928997,0,0.6306314321857994,51320.27881155869,6.34284908085822,8091.045231776947,30,30,30,-0.1082947114939858,0.09287027419936952,0.04689868501896277,9.0574,0.355696197981724,30.02,98.843,8.590352027638353,0.705332652715507,3.72548377705323,3.610013118675433,3.998418398318941,0.04237462473416133,0.182709165994877,0.5844723702130368,4.279557191950742,0.6031674295309635,42.02404170470174,0.4336823176823213,2.177442333364518,5.048242458768555,3.72548377705323,
AI007,7,CP_Lattice_7.csv,AI-LATTICE-007,Imported,AI lattice_1-150_30 mm_merge.xlsx,0.3,0.2996573533456922,2066,8550,8.276863504356244,5.601177413213199,8.276863504356244,5.601177413213199,3.451749395036657,1.29448081462373,34.18133551843622,19.60595496604455,3.229442548340435,0.5984264139266141,35.1003966583621,6.271249051214691,5.842416745152329,2.191032871190173,5.466141096182097,1.012894072348836,32.29643362744923,20.11135142968841,31.38519080625558,6.819097274949535,31.48498237196646,20.52786826739419,32.24786881520166,7.113990958522305,1,2358,29512.45732756379,0.2954042432783233,0,0.5908084865566466,54777.47002239752,6.770383450841782,8090.74854033369,30,30,30,-0.1354809601487754,0.1990830083622089,0.003378861843651741,8.6392,0.3371391333160475,30.21,122.15,10.90878339041728,0.721015651218121,4.322760637079325,4.201561410397997,5.470870219967582,0.04676871311815407,0.1885924603421585,0.5571131896182753,4.811729229610041,0.5731838074577768,38.51539864737637,0.3962642287751916,2.40826696647959,5.890717945409573,4.322760637079325,
AI008,8,CP_Lattice_8.csv,AI-LATTICE-008,Imported,AI lattice_1-150_30 mm_merge.xlsx,0.3,0.3000713946499128,2266,9450,8.340688437775816,4.546205682127749,8.340688437775816,4.546205682127749,3.313657368870602,1.351522906198755,35.79265756838318,20.91020579063128,3.096687856161706,0.671460592944142,35.72443143295607,7.920397147925193,5.773352373137985,2.354744956782413,5.395328542773339,1.169879132393208,30.92847222607625,19.52134961210205,31.88247086404276,8.458616399392577,29.58146992278905,16.92401899341712,30.38660707190858,6.646975063916284,1,2658,31314.062135828,0.2869786178553945,0,0.573957235710789,56463.63283852821,6.969160333080213,8101.927655547644,30,30,30,-0.009195851183208339,-0.1165785275071317,-0.2099541035389882,7.6852,0.300706215940759,30.13,117.05,12.23046808750479,0.7588872472178955,4.390137679522247,4.264078610990452,6.20760918036497,0.05500407430053736,0.1665031598945007,0.5011252398487519,4.39705650275852,0.5159400185421571,34.86439423644652,0.3589509124354295,2.200008797619629,6.033298018469983,4.390137679522247,
AI009,9,CP_Lattice_9.csv,AI-LATTICE-009,Imported,AI lattice_1-150_30 mm_merge.xlsx,0.3,0.2997983998576633,2391,9625,8.051024675867838,4.869758741953258,8.051024675867838,4.869758741953258,3.159229797984116,1.199107180287924,32.1852936702036,26.64136734494164,2.948726783715824,0.6169685448948566,35.12058224977846,12.12881493655834,5.426509878983743,2.059668772415611,5.064935457518223,1.059747507455929,30.25750956313886,21.35357958318415,30.00016161444894,4.975672830078588,32.0925472141282,23.86284612731762,30.1314221078201,8.638196256344974,1,2458,30407.58680559658,0.291092236855539,0,0.582184473711078,55615.06472035538,6.870674469386639,8094.556796156909,30,30,30,-0.2204430710038439,0.03518864391511654,0.1258942388153822,8.0371,0.3140584080639026,30.17,101.25,11.97229529111967,0.7634189589251161,3.487840755778039,3.415103403908199,4.924773949538586,0.05062479253466207,0.2248146521803986,0.6358879509457673,3.619284303432452,0.6494315542184539,28.5250515533251,0.2913259881223537,2.217875911416834,5.823707916985958,3.487840755778039,
AI010,10,CP_Lattice_10.csv,AI-LATTICE-010,Imported,AI lattice_1-150_30 mm_merge.xlsx,0.3,0.2998318161161231,1891,7900,8.355367530407191,4.697809521049876,8.355367530407191,4.697809521049876,3.531508141452582,1.306966005886461,31.80870794250977,21.94928121854353,3.355111166596488,0.5108938874222826,31.43931619889446,5.53400183034578,5.810025844913154,2.150216272614875,5.519818108776703,0.8405209816989656,29.99750388129206,22.18729390691218,29.06867273845534,9.546765374805009,33.59500815651604,22.70295862075232,35.02975750510328,8.87780238416117,1,2233,27898.91431747624,0.3039150113716378,0,0.6078300227432756,53274.49275110611,6.580787144976958,8095.459035135324,30,30,30,-0.2245610630384856,-0.004881333420939673,0.1042247538875192,8.478,0.3313968974194638,30.16,87.894,7.986395428792029,0.692388333213425,3.759031647452788,3.644406294964865,4.807930749323161,0.05667878414180699,0.2302890683644069,0.6109059652401274,4.395535015594605,0.6301204287041412,45.63268031816069,0.4706793798239658,2.296414856955332,5.714453141690044,3.759031647452788,
