model_id,structural_excel_row,Type,Source,Target VF,Actual VF,Node 개수,Strut 개수,Global: Strut No. at Nodes-AVG,Global: Strut No. at Nodes-STDEV,Node: Strut count - AVG,Node: Strut count - STDEV,Global: Length - AVG,Global: Length - STDEV,Global: Angle-Z (weighted with length)-AVG,Global: Angle-Z (weighted with length)-STDEV,Node: Length - AVG,Node: Length - STDEV,Node: Angle-Z (weighted with length)-AVG,Node: Angle-Z (weighted with length)-STDEV,Global: l/d AVG,Global: l/d STDEV,Node: l/d AVG,Node: l/d STDEV,Global: Angle-X (weighted with length)-AVG,Global: Angle-X (weighted with length)-STDEV,Node: Angle-X (weighted with length)-AVG,Node: Angle-X (weighted with length)-STDEV,Global: Angle-Y (weighted with length)-AVG,Global: Angle-Y (weighted with length)-STDEV,Node: Angle-Y (weighted with length)-AVG,Node: Angle-Y (weighted with length)-STDEV,connected_components,maxwell_index_M_3D,total_strut_length_mm,mean_radius_mm,std_radius_mm,mean_diameter_mm,surface_area_mm2,surface_to_solid_volume_1_per_mm,solid_volume_mm3_approx,bbox_x_mm,bbox_y_mm,bbox_z_mm,mass_center_x_mm,mass_center_y_mm,mass_center_z_mm
AI056,57,Imported,AI lattice_1-150_30 mm_merge.xlsx,0.45,0.449566272267602,2516,10475,8.32670906200318,4.889532990300193,8.32670906200318,4.889532990300193,3.064040333090091,1.199375090677755,31.8321388828579,25.67702310394044,2.817193762348495,0.642020329547248,32.03729761071396,8.775872329810301,4.415551253420134,1.728404854130011,4.059823662934637,0.9252076874570976,29.7718789617365,25.11884441320696,30.75704937403185,9.007068693650664,33.07425754664023,22.79275163789775,33.38623701842381,7.002639252196498,1,2933,32095.82248911958,0.3469601140646698,0,0.6939202281293396,69969.36454178594,5.764351344509936,12138.28935122526,30,30,30,-0.003997923597802661,0.006674792629068206,0.1754713351478089
AI057,58,Imported,AI lattice_1-150_30 mm_merge.xlsx,0.45,0.4506630953150786,1741,7225,8.299827685238368,4.479165687675204,8.299827685238368,4.479165687675204,3.532324977121505,1.300668265160145,31.48678700743724,22.97855040523493,3.322271963094411,0.5832328815029344,30.65481530265746,6.547112746110041,4.533639307190927,1.66937096975464,4.264042198443817,0.7485629249726243,29.99811127931466,27.14093740199167,33.2724201098019,13.47164945332571,31.5428053771796,21.32442880674876,29.75638490256712,9.669597501471445,1,2008,25521.04795970398,0.3895683729756345,0,0.779136745951269,62468.64179740875,5.133886985546154,12167.90357350712,30,30,30,-0.1036441257666147,0.1095698937269719,-0.06632315022445372
AI058,59,Imported,AI lattice_1-150_30 mm_merge.xlsx,0.45,0.4497301333430105,1816,7375,8.122246696035242,5.686427765715469,8.122246696035242,5.686427765715469,3.516366629214586,1.47641467011687,34.91726475876005,21.54954203019798,3.213406289431592,0.719582170153015,33.29406262739355,7.450133737184903,4.554170669321444,1.912156807125649,4.161796028422423,0.931956294389446,30.6938098575039,21.28704444040404,32.01612540776532,5.307982765777572,30.27756767623303,21.47433638324823,31.30605799414451,9.22728345268031,1,1933,25933.2038904585,0.3860600408436728,0,0.7721200816873456,62905.82974464445,5.18054133659966,12142.71360026128,30,30,30,-0.180927605697703,0.2028103846459583,-0.2082100813770981
AI059,60,Imported,AI lattice_1-150_30 mm_merge.xlsx,0.45,0.4502121208317679,1841,7795,8.468223791417708,5.293987108636734,8.468223791417708,5.293987108636734,3.514067627368562,1.315525679441903,29.71120928740329,26.87572364282032,3.258192411082886,0.6835191209514438,30.31378884819821,9.737693617413555,4.674957849275709,1.750116319086326,4.334552945996829,0.909323160071001,34.12275714350465,21.53316801753237,33.41238003337207,6.61326472407846,30.49361263499854,21.77234713837491,31.86158251747224,5.702240846624161,1,2278,27392.15715533839,0.3758394985222162,0,0.7516789970444324,64685.73585402012,5.321420467683436,12155.72726245773,30,30,30,0.02767732444822581,-0.0874044102035727,-0.1182516181536002
AI060,61,Imported,AI lattice_1-150_30 mm_merge.xlsx,0.45,0.4497828699431176,1816,7425,8.177312775330396,5.407621663780809,8.177312775330396,5.407621663780809,3.489622478699607,1.48270707332266,34.32259820950751,20.13441862884314,3.274527754364079,0.6803736050228057,35.33878659659135,6.076185641011556,4.51728509534809,1.919351048421591,4.2388468980188,0.8807375479719725,32.3859322896468,21.23421425273709,32.86497913776184,9.844982326949404,31.10495260569797,19.88951207353461,29.60354703887786,9.519921539160837,1,1983,25910.44690434532,0.3862521852221844,0,0.7725043704443688,62881.90955594715,5.177964233003722,12144.13748846417,30,30,30,-0.2376917839472639,0.1308532000917765,-0.444253528602104
AI061,62,Imported,AI lattice_1-150_30 mm_merge.xlsx,0.45,0.4507647597332122,1941,7850,8.088614116434828,5.713375443170645,8.088614116434828,5.713375443170645,3.425599962343041,1.389760593586806,34.58799895569184,19.62331575562251,3.109160034643797,0.6528869563071711,35.16021029233711,7.258903741788214,4.512610781847944,1.830759197731213,4.095758188071614,0.8600609384478359,29.86257993689962,22.7019818821151,27.91489977045568,10.72400179771323,31.21358154470776,21.41980442242651,33.88679427610275,7.84730727706342,1,2033,26890.95970439335,0.3795585447034982,0,0.7591170894069964,64130.54682936536,5.269279345462637,12170.64851279673,30,30,30,-0.00458129916719621,0.001974255657579232,0.1643832501771653
AI062,63,Imported,AI lattice_1-150_30 mm_merge.xlsx,0.45,0.4501583864605845,2241,9100,8.121374386434628,4.89236769689761,8.121374386434628,4.89236769689761,3.223540324114024,1.305269224678629,29.47518445385742,23.79998418206271,2.942187066558412,0.651283057980101,29.69744791399114,7.977360114834225,4.438137395481675,1.797081337522826,4.05077310400462,0.8966798625233836,33.53378592301064,22.16456481749805,33.37431723593858,5.042341954278873,32.06353830047036,24.18744326966312,33.40940600055063,6.662016166613264,1,2383,29334.21694943861,0.3631636469159119,0,0.7263272938318238,66935.53464204539,5.507159147080286,12154.27643443578,30,30,30,0.01578325175029206,-0.0773724174371333,-0.2260183017701456
AI063,64,Imported,AI lattice_1-150_30 mm_merge.xlsx,0.45,0.4496022230072002,2441,9425,7.722244981564932,4.580861921254425,7.722244981564932,4.580861921254425,3.193103872447059,1.24365009360078,30.78822252588825,20.44811003191309,2.991031473407837,0.6256241360857093,29.92092576933898,6.189749373452712,4.455629624495405,1.735378622464776,4.173659540396006,0.872990527679443,34.41208175853316,18.84887576849488,34.38768410563149,6.564470129243005,31.48527439817385,20.31022789567304,32.82941387602803,7.425975816142513,1,2108,30095.00399781388,0.3583224080040848,0,0.7166448160081696,67756.0752553104,5.581565526812379,12139.2600211944,30,30,30,0.1361253355782638,-0.1580060705595402,0.05934586181676289
AI064,65,Imported,AI lattice_1-150_30 mm_merge.xlsx,0.45,0.4502555791751578,2891,11475,7.938429609131789,4.920792705938597,7.938429609131789,4.920792705938597,3.087486552979163,1.425201237433878,34.02710546707787,19.4226631369629,2.862371336913801,0.6204331096091257,35.82018178661763,7.249809752418091,4.67108173213165,2.156197719586874,4.330503220988616,0.9386579389336628,29.96689182066907,18.81050630334576,29.68411071184678,8.191446225745135,34.09528314078522,19.62368033382103,32.71013672330795,7.616589286505534,1,2808,35428.90819543573,0.3304894594051759,0,0.6609789188103518,73569.06728347458,6.051630220218386,12156.90063772926,30,30,30,0.007602644149506678,0.1886027202447468,-0.002358225431618202
AI065,66,Imported,AI lattice_1-150_30 mm_merge.xlsx,0.45,0.4499619500918208,1816,7675,8.452643171806168,4.83911560533012,8.452643171806168,4.83911560533012,3.468514016691415,1.09469696381579,32.20294058014061,23.54923630769794,3.279879474348857,0.5000665298033847,32.98630042563758,7.100680533404741,4.550190049142149,1.43608450408747,4.302728740535319,0.6560151514079475,33.03244239789834,23.57814947859225,32.56070168702462,6.342168948815058,31.52815371567216,23.72624068942331,32.37794695865691,7.018954719634798,1,2233,26620.84507810679,0.3811394666191291,0,0.7622789332382582,63750.79841636851,5.247422991223814,12148.97265247916,30,30,30,0.0679936143776848,-0.02603696106136897,0.2255680361893629
