model_id,model_numeric_id,raw_sample_id,geometry_group,source_asset_alias,source_path,source_sheet,source_excel_row,structural_excel_row,join_key,join_status,replicate_id,direction,analysis_group_id
AI019,19,CP_Lattice_19.csv,ai_lattice,COMP-Y-AILATTICE-001-150,experiments/lab_001_xy_connection_20260626/data/raw/doctor_compression_data_20260731/03_ai_lattice_summaries/Ai-Lattice_(1-50)_summary (1).xlsx,Raw data,20,20,model_id,exact_one_to_one,single_received_summary_row,unresolved,AI-LATTICE-019
AI020,20,CP_Lattice_20.csv,ai_lattice,COMP-Y-AILATTICE-001-150,experiments/lab_001_xy_connection_20260626/data/raw/doctor_compression_data_20260731/03_ai_lattice_summaries/Ai-Lattice_(1-50)_summary (1).xlsx,Raw data,21,21,model_id,exact_one_to_one,single_received_summary_row,unresolved,AI-LATTICE-020
AI021,21,CP_Lattice_21.csv,ai_lattice,COMP-Y-AILATTICE-001-150,experiments/lab_001_xy_connection_20260626/data/raw/doctor_compression_data_20260731/03_ai_lattice_summaries/Ai-Lattice_(1-50)_summary (1).xlsx,Raw data,22,22,model_id,exact_one_to_one,single_received_summary_row,unresolved,AI-LATTICE-021
AI022,22,CP_Lattice_22.csv,ai_lattice,COMP-Y-AILATTICE-001-150,experiments/lab_001_xy_connection_20260626/data/raw/doctor_compression_data_20260731/03_ai_lattice_summaries/Ai-Lattice_(1-50)_summary (1).xlsx,Raw data,23,23,model_id,exact_one_to_one,single_received_summary_row,unresolved,AI-LATTICE-022
AI023,23,CP_Lattice_23.csv,ai_lattice,COMP-Y-AILATTICE-001-150,experiments/lab_001_xy_connection_20260626/data/raw/doctor_compression_data_20260731/03_ai_lattice_summaries/Ai-Lattice_(1-50)_summary (1).xlsx,Raw data,24,24,model_id,exact_one_to_one,single_received_summary_row,unresolved,AI-LATTICE-023
AI024,24,CP_Lattice_24.csv,ai_lattice,COMP-Y-AILATTICE-001-150,experiments/lab_001_xy_connection_20260626/data/raw/doctor_compression_data_20260731/03_ai_lattice_summaries/Ai-Lattice_(1-50)_summary (1).xlsx,Raw data,25,25,model_id,exact_one_to_one,single_received_summary_row,unresolved,AI-LATTICE-024
AI025,25,CP_Lattice_25.csv,ai_lattice,COMP-Y-AILATTICE-001-150,experiments/lab_001_xy_connection_20260626/data/raw/doctor_compression_data_20260731/03_ai_lattice_summaries/Ai-Lattice_(1-50)_summary (1).xlsx,Raw data,26,26,model_id,exact_one_to_one,single_received_summary_row,unresolved,AI-LATTICE-025
AI026,26,CP_Lattice_26.csv,ai_lattice,COMP-Y-AILATTICE-001-150,experiments/lab_001_xy_connection_20260626/data/raw/doctor_compression_data_20260731/03_ai_lattice_summaries/Ai-Lattice_(1-50)_summary (1).xlsx,Raw data,27,27,model_id,exact_one_to_one,single_received_summary_row,unresolved,AI-LATTICE-026
AI027,27,CP_Lattice_27.csv,ai_lattice,COMP-Y-AILATTICE-001-150,experiments/lab_001_xy_connection_20260626/data/raw/doctor_compression_data_20260731/03_ai_lattice_summaries/Ai-Lattice_(1-50)_summary (1).xlsx,Raw data,28,28,model_id,exact_one_to_one,single_received_summary_row,unresolved,AI-LATTICE-027
AI028,28,CP_Lattice_28.csv,ai_lattice,COMP-Y-AILATTICE-001-150,experiments/lab_001_xy_connection_20260626/data/raw/doctor_compression_data_20260731/03_ai_lattice_summaries/Ai-Lattice_(1-50)_summary (1).xlsx,Raw data,29,29,model_id,exact_one_to_one,single_received_summary_row,unresolved,AI-LATTICE-028
