role,path,bytes,expected_sha256,actual_sha256,status
structural_factors,experiments/lab_001_xy_connection_20260626/data/raw/doctor_compression_data_20260731/01_structural_factors/Structural_Factors_All.xlsx,164127,088255B6D35461B4ABCE0D11F160043169B8824DCE1B62D33D0D543548F9CDA1,088255B6D35461B4ABCE0D11F160043169B8824DCE1B62D33D0D543548F9CDA1,PASS
bcl_primary_vf30,experiments/lab_001_xy_connection_20260626/data/raw/doctor_compression_data_20260802/01_bcl_vf30/New_VF30.xlsx,291688761,B75A9A8F749ADB6C01D530BA3164F86865BC3CE3FFE730BE692EAD31777100FA,B75A9A8F749ADB6C01D530BA3164F86865BC3CE3FFE730BE692EAD31777100FA,PASS
bcl_primary_vf45,experiments/lab_001_xy_connection_20260626/data/raw/doctor_compression_data_20260802/02_bcl_vf45/New_VF45.xlsx,311721224,FDB63F82A7664A96110FB9E94A97152334AC6855A39CD13729F2E1DA9F9683F9,FDB63F82A7664A96110FB9E94A97152334AC6855A39CD13729F2E1DA9F9683F9,PASS
bcl_primary_vf60,experiments/lab_001_xy_connection_20260626/data/raw/doctor_compression_data_20260802/03_bcl_vf60/New_VF60.xlsx,348771087,9D2B11CEA91A40AC2E4C4580DA1DADA0AFAC9AC41B42114BFE5EC178FB230E28,9D2B11CEA91A40AC2E4C4580DA1DADA0AFAC9AC41B42114BFE5EC178FB230E28,PASS
voronoi_primary,experiments/lab_001_xy_connection_20260626/data/raw/doctor_compression_data_20260802/04_voronoi/Voronoi_Summary.xlsx,17284,7722E15B9C34B864C1A95236CE0BBCB1155BB6E446AF0F6CA5C1B273D43304F0,7722E15B9C34B864C1A95236CE0BBCB1155BB6E446AF0F6CA5C1B273D43304F0,PASS
voronoi_worked_crosscheck,experiments/lab_001_xy_connection_20260626/data/raw/doctor_compression_data_20260802/04_voronoi/Compression_Worked_Voronoi.xlsx,149897709,7701B00D5D8F0948928911555C526E642A9B527EB60AC7AC9B53C3473216D563,7701B00D5D8F0948928911555C526E642A9B527EB60AC7AC9B53C3473216D563,PASS
