notebook_path,notebook_sha256,cell_index,cell_type,first_line,line_count,definitions
experiments/lab_001_xy_connection_20260626/data/raw/professor_generators_20260716/Multiwall_model_generator_VF50.ipynb,46dcac9467dcb9904eb0d41ebb6639a8cb304d47e46b6c5d478e74df4f497923,17,markdown,"Run Cells 8–8G after candidate generation. The descriptor extraction is intentionally divided by method: point-based, surface-based, slice-image-based, and lattice node/strut-based",4,
experiments/lab_001_xy_connection_20260626/data/raw/professor_generators_20260716/Multiwall_model_generator_VF50.ipynb,46dcac9467dcb9904eb0d41ebb6639a8cb304d47e46b6c5d478e74df4f497923,18,code,DESCRIPTOR_RUN_NOW = False,31,
experiments/lab_001_xy_connection_20260626/data/raw/professor_generators_20260716/Multiwall_model_generator_VF50.ipynb,46dcac9467dcb9904eb0d41ebb6639a8cb304d47e46b6c5d478e74df4f497923,19,code,def convert_selected_stl_to_stp(selected_table_df):,35,convert_selected_stl_to_stp
experiments/lab_001_xy_connection_20260626/data/raw/professor_generators_20260716/Multiwall_model_generator_VF50.ipynb,46dcac9467dcb9904eb0d41ebb6639a8cb304d47e46b6c5d478e74df4f497923,20,markdown,This version has an explicit auto-run switch in Cell 1.,27,
experiments/lab_001_xy_connection_20260626/data/raw/professor_generators_20260716/Type A+B Gen. Image slicing.ipynb,1ef01006d93be95e56525c91bd0943405ee6cd54e2347413699472fe7c6d24f7,1,markdown,Type A는 `N개 후보 생성 → Start/End 기반 구조인자 추출 → 구조인자 공간 LHS로 M개 선정 → 선정본만 STL/STP export` 방식으로 수정한 버전입니다.,6,
experiments/lab_001_xy_connection_20260626/data/raw/professor_generators_20260716/Type A+B Gen. Image slicing.ipynb,1ef01006d93be95e56525c91bd0943405ee6cd54e2347413699472fe7c6d24f7,2,markdown,,1,
experiments/lab_001_xy_connection_20260626/data/raw/professor_generators_20260716/Type A+B Gen. Image slicing.ipynb,1ef01006d93be95e56525c91bd0943405ee6cd54e2347413699472fe7c6d24f7,3,code,"""""""",272,"make_result_output_dir, GenerationConfig, __post_init__, cell_size_mm, LatticeModel"
experiments/lab_001_xy_connection_20260626/data/raw/professor_generators_20260716/Type A+B Gen. Image slicing.ipynb,1ef01006d93be95e56525c91bd0943405ee6cd54e2347413699472fe7c6d24f7,4,markdown,"Graph utility, Type A/B 생성, 5×5×5 확장, VF radius, Start/End 구조인자, Excel/STL export를 한 셀로 묶었습니다.",2,
experiments/lab_001_xy_connection_20260626/data/raw/professor_generators_20260716/Type A+B Gen. Image slicing.ipynb,1ef01006d93be95e56525c91bd0943405ee6cd54e2347413699472fe7c6d24f7,5,code,"def _key3(pt: Sequence[float], digits: int = 6) -> Tuple[float, float, float]:",1770,"_key3, deduplicate_nodes_edges, connected_components, find, union, ensure_connected, _base_unit_nodes, generate_type_a_unit_cell"
experiments/lab_001_xy_connection_20260626/data/raw/professor_generators_20260716/Type A+B Gen. Image slicing.ipynb,1ef01006d93be95e56525c91bd0943405ee6cd54e2347413699472fe7c6d24f7,6,markdown,,1,
