alias,role,status,source_path,relative_copy_path,bytes,sha256
COMP-X-STRUCTURAL-320,structural_factor_table,raw_read_only,"C:\Users\chuck\Documents\카카오톡 받은 파일\Structural_Factors_All.xlsx","01_structural_factors\Structural_Factors_All.xlsx",164127,088255B6D35461B4ABCE0D11F160043169B8824DCE1B62D33D0D543548F9CDA1
REF-STRUT-VORONOI-30,reference_strut_source,raw_read_only,"C:\Users\chuck\Documents\카카오톡 받은 파일\Voronoi_30 mm_merge.xlsx","02_reference_strut_sources\Voronoi_30 mm_merge.xlsx",3989141,45B32B87E12BD4690F07051142943963612BEE879849C4A7F56A10F164D382D7
REF-STRUT-BCL-140,reference_strut_source,raw_read_only,"C:\Users\chuck\Documents\카카오톡 받은 파일\B, C, L model_30 mm_merge.xlsx","02_reference_strut_sources\B, C, L model_30 mm_merge.xlsx",13971093,EDCF8072853C57D9F84F20DE9B05B846E824564BABB44B8D012914A96F8080BE
REF-STRUT-AILATTICE-150,reference_strut_source,raw_read_only,"C:\Users\chuck\Documents\카카오톡 받은 파일\AI lattice_1-150_30 mm_merge.xlsx","02_reference_strut_sources\AI lattice_1-150_30 mm_merge.xlsx",37558751,C94F77F91094F362B4BE33D93CE4DB9522025FA8105EB1D9E5F44AFE82E05BDA
INTAKE-AILATTICE-SUMMARY-001-050,pending_content_audit,raw_read_only,"C:\Users\chuck\Downloads\Ai-Lattice_(1-50)_summary (1).xlsx","03_ai_lattice_summaries\Ai-Lattice_(1-50)_summary (1).xlsx",19778,1A93F6067223AF6F30513E49FF4492D4ABBCCB44D74096196C5E72E39ABAF03D
INTAKE-AILATTICE-SUMMARY-051-100,pending_content_audit,raw_read_only,"C:\Users\chuck\Downloads\Ai-Lattice_(51-100)_summary.xlsx","03_ai_lattice_summaries\Ai-Lattice_(51-100)_summary.xlsx",19657,A7E4BA1A8BF00043AE0CF1D8B1115752D9166FCACBC32BEA456A56240A290674
INTAKE-AILATTICE-SUMMARY-101-150,pending_content_audit,raw_read_only,"C:\Users\chuck\Downloads\Ai-Lattice_(101-150)_summary.xlsx","03_ai_lattice_summaries\Ai-Lattice_(101-150)_summary.xlsx",19815,EFC66A5505C1553B1F8C02935FA1F444EC6C8B5D1DA8EA22C562DF02D9766D3D
