row_id,row_position,original_excel_row,x_raw_value_hash,y_raw_value_hash,x_nan_mask_hash,y_nan_mask_hash,x_key,x_key_hash,group_id
EXCEL-ROW-0007,0,7,5a6754e9a33c122a4f1120ad3309b9e2b8045db50981f6d9af0a0bc3dc248c7b,ff0cd5cc2ee9eec94feeae9979ea8526c1852eb99eed59fa64d25b8f8c5b9ae6,65e00f60fd84999d2c3302c0e9c54f6389ea802dec92a29e1139e280a3387e18,822beeddb26e880162defdd0d197cf4652a8ff3031424d89a75a2b4089979205,216.0||540.0||-102.0||5.0||0.818393||2.7087975||0.0||8.0||0.0||30.0||42.426407||2.7087975||0.0||8.0||0.0||30.0||7.567372||20.80159342||117.90434259||352.71191011||453.17831086||479.81303371||355.8700846||22.9908||12.5252||4.79487226||0.99965027||0.0149567||0.992||0.07110556||0.992||0.07110556||0.9904||0.0779||0.0141861||0.60669425||0.32450704||2.88428168||3.39411255||30.16753222||0.39||3.1581||89.95142261||2.07749992||88.88879224||9.8766306||88.88879224||9.8766306||88.681||10.68||0.07162145||0.01956829||0.04797707||0.03192018||0.04797707||0.03192018||0.0228||0.0274||944.64||0.25892412||0.14740904||0.25835444||0.14716972||0.25851967||0.14737365||0.39438031||0.14710963||0.39404768||0.14725413||0.39450094||0.14728051||0.49505711||0.14369042||0.06643921||0.02639744||0.06554172||0.02663187||0.06566318||0.02666801||0.09897623||0.01787942||0.09858468||0.01757474||0.0990336||0.01806031||0.12226464||0.01378987||89.54245279||262.74180197||697.6939632||517.33286426||881.99316||276.19904573||27.0058||11.5164||0.99954099||0.01275245||0.99555861||0.03944466||0.99555861||0.03944466||0.9959||0.0377||0.01830532||0.50857017||0.17712333||1.57306065||2.99548301||26.60336339||0.1619||1.5049||89.88617056||3.16248228||88.89857989||9.78188803||88.89857989||9.78188803||89.0162||9.1433||0.05400779||0.05786987||0.02419491||0.02501819||0.02419491||0.02501819||0.0114||0.0129||520.6192||111.99358381||331.4972711||880.02719001||654.30360251||1105.25503121||360.11766591||30.408||13.0364||0.99952306||0.01327757||0.99537364||0.04111998||0.99537364||0.04111998||0.9958||0.0393||0.01877819||0.52276267||0.18214844||1.61897073||3.41430813||30.34703445||0.166||1.5465||89.88655309||3.15822822||88.89956501||9.78088018||88.89956501||9.78088018||89.0193||9.1349||0.02982448||0.00632492||0.01522994||0.01227035||0.01522994||0.01227035||0.0114||0.0104||634.88,1bba41acd0117ab5da9d465f728fce66dab45b5d80f4e90a666b63f5bc8e496c,0
EXCEL-ROW-0008,1,8,5f490b4daca96d37feeeb3d96143ca04fb991f579afbf0a31e99d4c92c2e7e9d,7c0e5dc8b5e2cca37644018502b8095474cb7603713e2524b19d836e0b618be3,65e00f60fd84999d2c3302c0e9c54f6389ea802dec92a29e1139e280a3387e18,822beeddb26e880162defdd0d197cf4652a8ff3031424d89a75a2b4089979205,1331.0||3630.0||-357.0||5.454545||0.668294||2.57021176||0.0||4.0||0.0||30.0||42.426407||2.57021176||0.0||4.0||0.0||30.0||5.95358||6.13931775||64.44917715||344.27495218||453.49949408||475.21078652||354.59411169||22.4653||13.0896||4.73975738||0.99978947||0.01160571||0.984||0.09991997||0.984||0.09991997||0.9806||0.1098||0.00433083||0.23874605||0.32914286||2.05549648||6.7882251||42.39245216||0.3994||2.2582||89.97111016||1.59261357||87.80437253||13.71168914||87.80437253||13.71168914||87.4012||14.6918||0.12640909||0.02947682||0.08191458||0.05820806||0.08191458||0.05820806||0.0379||0.0514||944.64||0.25403355||0.1476484||0.25424359||0.14771809||0.25436675||0.14765161||0.38949054||0.14522621||0.38973109||0.14516732||0.3894948||0.14536278||0.48910533||0.14167903||0.0498879||0.03462632||0.05054805||0.03462103||0.05033699||0.03491605||0.07904605||0.03454312||0.07966723||0.03405578||0.07920868||0.03415718||0.10063701||0.03265947||26.62958617||149.03820677||691.06177341||516.91780489||866.46016||284.31674825||26.7555||12.1054||0.99969928||0.01063825||0.99056913||0.05884854||0.99056913||0.05884854||0.9915||0.0561||0.00583372||0.20637704||0.18295438||1.14163385||6.08938308||37.99770163||0.1657||1.0877||89.93126918||2.43145908||87.84449817||13.45031417||87.84449817||13.45031417||88.1361||12.2374||0.07302476||0.03107633||0.02960708||0.03283568||0.02960708||0.03283568||0.0181||0.0258||489.4192||29.61702128||177.30884421||873.8545618||655.44505333||1094.83146067||362.90491118||30.0846||13.7043||0.99973321||0.01007117||0.99048887||0.059397||0.99048887||0.059397||0.9914||0.0566||0.00516743||0.19506607||0.18421875||1.15044573||6.86731389||42.88636147||0.1668||1.0959||89.93960856||2.27972693||87.8470451||13.44519902||87.8470451||13.44519902||88.138||12.2361||0.06249648||0.00766957||0.0262808||0.027342||0.0262808||0.027342||0.0179||0.0231||614.4,c25f851c7d4dc9c179e93dda8ba2a17ca0280678ce3b0ee4eb09f2a15dd4e6e7,1
EXCEL-ROW-0009,2,9,f4bb56e62ac6dca2afa61864afcd10dbea3d48c9850eccb32bca3baf448cde57,aa70a9dfaa1a3289f185f21496bf360fbca7cfd32ebf2c9e68e1340988c40f23,65e00f60fd84999d2c3302c0e9c54f6389ea802dec92a29e1139e280a3387e18,822beeddb26e880162defdd0d197cf4652a8ff3031424d89a75a2b4089979205,341.0||1000.0||-17.0||5.865103||2.486312||3.12701106||0.0||6.9282032||0.0||35.26439||0.0||3.12701106||0.0||6.9282032||0.0||35.26439||0.0||9.87318722||5.7897797||12.26977434||5.57302503||463.9658427||136.02723806||3.5528||0.9533||1.88488726||0.97758552||0.00442784||0.97881171||0.00494589||0.97881186||0.00494509||0.9793||0.0046||0.49495601||0.13093543||0.43402788||0.12059114||52.15859079||16.8270038||0.4612||0.123||46.30493481||8.09718366||49.94296438||7.64490988||49.94296438||7.64490988||65.5081||5.7657||0.05839224||0.00844203||0.05542149||0.00699505||0.05542149||0.00699505||0.0549||0.0082||217.76||0.25100648||0.14414443||0.25095122||0.14411934||0.25041356||0.14413316||0.38363757||0.14265686||0.38335846||0.14235347||0.38325477||0.14275494||0.4813658||0.13891383||0.04980101||0.0250942||0.04984757||0.02473337||0.04982347||0.02494322||0.07246135||0.03091493||0.07251853||0.03069407||0.07244293||0.03108737||0.08958335||0.0358573||268.5004093||405.49172117||773.62516189||300.8022392||865.91382||116.70418481||29.605||2.0637||0.49890772||0.3982095||0.83370289||0.30102609||0.99056805||0.00437124||0.9911||0.0083||0.44016398||0.40312211||0.38014336||0.19072981||46.25209476||14.82486259||0.4139||0.1247||56.82469036||25.73876998||55.67888751||13.86105997||55.67888751||13.86105997||67.7849||5.8968||0.32687225||0.33059102||0.08127592||0.19181926||0.08127592||0.19181926||0.0109||0.0092||1083.3712||274.08926134||483.54748691||1016.48666842||355.36280699||1109.01784769||145.40824709||33.4931||2.2829||0.58830512||0.32897936||0.9393189||0.17589884||0.99079399||0.00423068||0.9913||0.0083||0.56489728||0.32447257||0.4395492||0.17482212||51.78515105||16.65143612||0.4136||0.1242||47.29897244||22.40836168||50.51332618||11.21578489||50.51332618||11.21578489||67.798||5.8865||0.41841461||0.29590641||0.05863061||0.16254711||0.05863061||0.16254711||0.0078||0.0098||1368.608,7fc3707e1a464b18b7a7017ade04b977e839d25a922b43fa8183eb8c491dcaab,2
EXCEL-ROW-0010,3,10,e1af8a45bc0c15db660f4104d3b16839747307e9bf5fb6b3671f0bb67a389db0,ac4812e6ef798b187563fa506f6929eee47b77701f28c07827785fa842fd606e,65e00f60fd84999d2c3302c0e9c54f6389ea802dec92a29e1139e280a3387e18,822beeddb26e880162defdd0d197cf4652a8ff3031424d89a75a2b4089979205,881.0||2500.0||-137.0||5.675369||6.059849||4.04813486||0.40902659||6.1653936||0.622956||32.366289||15.955794||3.96627019||0.35111011||6.040712||0.534748||31.626441||16.765616||4.62533519||27.03341719||115.99219892||243.18660962||460.22951311||117.49811933||7.9798||9.9473||2.82485398||0.96996259||0.01054875||0.97113702||0.04972637||0.97085263||0.0497324||0.9722||0.051||0.79692346||0.36176915||0.96998876||2.6387985||56.73416273||30.83067239||0.9757||2.6821||34.10065141||9.27032917||38.9569482||12.6194929||38.9569482||12.6194929||56.8308||12.6199||0.09545618||0.01402811||0.07257678||0.033028||0.07257678||0.033028||0.0681||0.0359||214.88||0.25058941||0.14469964||0.25006453||0.14468106||0.25040566||0.1444488||0.38318845||0.14270432||0.38306839||0.14244975||0.38339918||0.14250105||0.48101851||0.13923919||0.0483983||0.02760921||0.04788205||0.02776359||0.04812264||0.02785546||0.07308236||0.02876005||0.07306236||0.02858521||0.07329642||0.02870565||0.09067616||0.03221366||58.71899219||204.21636019||592.71806002||419.29077603||854.72833||102.82624908||26.2939||8.9551||0.91477893||0.21223306||0.94347933||0.16024289||0.98775199||0.02320351||0.9878||0.024||0.45399018||0.36122412||0.70319807||0.81414618||50.09618903||27.64363904||0.6936||0.8046||52.82086369||18.45718748||44.1408392||15.38758198||44.1408392||15.38758198||60.1214||12.9959||0.18215792||0.24493974||0.09088122||0.17630157||0.09088122||0.17630157||0.015||0.017||1071.5696||71.43568237||254.93632851||755.68014341||532.43752919||1093.92019975||126.69124316||29.6452||10.295||0.90507704||0.22314982||0.93607527||0.17063258||0.98798272||0.02302139||0.988||0.0239||0.49411586||0.34368018||0.7323233||0.83032748||56.00356268||31.21768864||0.6945||0.8192||49.48628823||15.38677936||42.16296838||15.41803336||42.16296838||15.41803336||60.1727||13.0278||0.12624803||0.19147194||0.06760361||0.15534715||0.06760361||0.15534715||0.0123||0.0154||1350.88,7d8a6371697b0ef278cd86ba8b69aa9092ff1644a4eef8db344bbd418ac7e458,3
EXCEL-ROW-0011,4,11,193df3e140bb7263c95ed94779c759b76edcb4dad43ffba4482296863c455983,b5f0e00f6af60e749cf8801389dc82b2eb8c232a9fe914f1a33da60b41376199,65e00f60fd84999d2c3302c0e9c54f6389ea802dec92a29e1139e280a3387e18,822beeddb26e880162defdd0d197cf4652a8ff3031424d89a75a2b4089979205,666.0||2800.0||808.0||8.408408||2.30883||3.7746828||0.0||5.6568544||0.0||35.357143||18.464666||3.7746828||0.0||5.6568544||0.0||36.193694||8.524843||5.49859417||38.87158393||202.97274567||294.19854054||460.07650437||124.66958016||12.2102||11.4325||3.49430966||0.97101275||0.00941026||0.96979026||0.06547312||0.96979026||0.06547311||0.9717||0.0674||0.7704981||0.27631673||0.91044909||1.83542853||53.72090988||35.40603239||0.8839||1.8849||34.25413342||7.05767353||41.08525867||15.03495466||41.08525867||15.03495466||59.7869||14.5291||0.11365946||0.02755276||0.07609484||0.04504918||0.07609484||0.04504918||0.0635||0.0477||614.08||0.25253772||0.14608785||0.25253268||0.14594695||0.25255147||0.14586921||0.3865403||0.14414169||0.38654187||0.14394001||0.386604||0.14392491||0.48531673||0.14042069||0.04983665||0.02967605||0.04953793||0.02937584||0.04948431||0.02974694||0.07642417||0.02899401||0.07618004||0.02910543||0.07645783||0.0291914||0.09674239||0.02560847||30.43705001||140.05356564||373.20184417||447.13546846||868.02662||94.77345693||23.4547||11.5449||0.85928574||0.24549312||0.89921559||0.20151152||0.98825568||0.03012295||0.9881||0.0322||0.59236466||0.59150727||0.77672853||1.00628524||47.04185589||33.02346026||0.6609||0.9318||47.40415078||16.58234475||42.89592738||16.25209986||42.89592738||16.25209986||62.3117||13.1088||0.19114081||0.24642288||0.12537594||0.19511714||0.12537594||0.19511714||0.0178||0.023||747.008||29.19737614||155.03590498||469.15077352||569.84707383||1101.37168539||118.71468928||26.2126||13.2684||0.85287718||0.24750651||0.90326926||0.20177149||0.98824692||0.02986884||0.9881||0.032||0.60831251||0.60466333||0.77750011||1.01024732||53.14947036||37.15778972||0.661||0.9339||46.91232216||16.71432618||42.81156706||16.341092||42.81156706||16.341092||62.3215||13.1304||0.19763911||0.23435987||0.12191138||0.19716132||0.12191138||0.19716132||0.0176||0.023||960.352,fca9fea5474e61f65353eeceb0a71fe6a37a5be1dbbe1b6ad6257701cabfca51,4
EXCEL-ROW-0012,5,12,4487a42addd3d2099c575798af98757b34fac96407f123507077698f881f1e81,160d6b9783a68ea8cf9750450cab2752796abbe9cbb131eb048bcf89d29e3b19,65e00f60fd84999d2c3302c0e9c54f6389ea802dec92a29e1139e280a3387e18,822beeddb26e880162defdd0d197cf4652a8ff3031424d89a75a2b4089979205,666.0||3340.0||1348.0||10.03003||3.497668||4.59722836||0.65714777||6.0356864||0.8627672||34.209138||25.660152||4.53268162||0.32683879||5.9509432||0.4291056||36.193694||8.841569||4.02362923||37.74545406||135.39978737||315.98043971||469.6293633||203.08033352||13.639||12.9751||3.69310168||0.97550483||0.01607348||0.97598958||0.06497307||0.96806131||0.07864684||0.9704||0.0862||0.70650223||0.48423735||0.72920139||1.80683882||51.60742668||38.86127365||0.9568||2.379||43.50727275||24.97372932||51.90513167||19.46843862||51.90513167||19.46843862||60.9714||17.0448||0.13449566||0.04026876||0.11561533||0.05073871||0.11561533||0.05073871||0.0666||0.0567||892.8||0.2533741||0.14661404||0.25369861||0.14657852||0.25401844||0.14656025||0.3879454||0.14505421||0.38832548||0.14510978||0.38815038||0.14504713||0.48730841||0.1416974||0.05363062||0.03077125||0.05316449||0.0309058||0.05301276||0.0309195||0.08187645||0.03001652||0.08150978||0.03006918||0.08179694||0.02997904||0.10311944||0.02715684||28.60419996||143.04843998||405.56908509||458.76836655||861.8803||159.18036708||25.038||11.0899||0.87978708||0.25163236||0.88619029||0.23316426||0.98699095||0.04383541||0.9871||0.0433||0.45001991||0.32946237||0.71236124||0.87209798||45.91514611||36.09488186||0.6644||0.84||52.45418599||16.71965655||44.12046784||17.09424064||44.12046784||17.09424064||61.4984||12.9173||0.17563965||0.21908585||0.13136092||0.21008295||0.13136092||0.21008295||0.0184||0.0262||526.0224||29.66806194||164.40723327||509.31682539||583.05066816||1088.38451935||202.64817741||28.0677||12.6545||0.87136418||0.25847586||0.88550243||0.2346034||0.98690737||0.04404212||0.987||0.0436||0.46633529||0.31812496||0.7178835||0.87516962||51.72094041||40.80186286||0.6662||0.8443||51.11120694||15.52923316||43.71701314||16.99297038||43.71701314||16.99297038||61.4518||12.9222||0.18017225||0.22784874||0.13201449||0.21396679||0.13201449||0.21396679||0.0185||0.0255||665.12,6b439a6a33c0cfc103dada653fb2f46837eb7cfe6152166c9afbee850eb2bd48,5
EXCEL-ROW-0013,6,13,6e792de642ac3ae2a839332ef1f98b8c9c0ce2e174643350d8ca6c1983611bec,6ae30403fdd2d5c106bc4982f3d464d19676fc01915a6411852adbfd4c1af824,65e00f60fd84999d2c3302c0e9c54f6389ea802dec92a29e1139e280a3387e18,4f7b605b91c7e2fce4a58b80df8e05c57d1c90748bb2c3c253fae8135cdaa191,791.0||4090.0||1723.0||10.34134||3.484838||4.62333198||0.90500474||5.6623944||1.1083984||33.663894||28.430904||4.48042594||0.6721311||5.4873712||0.823188||34.05213||5.341095||3.32506646||36.43056654||118.33283331||288.73988103||468.17018727||235.39180627||14.5733||13.6031||3.81749918||0.97613662||0.01812126||0.97588681||0.06780841||0.96658795||0.08853807||0.9688||0.0984||0.59471414||0.44238584||0.64325085||1.67099758||49.27541338||41.65739519||0.8803||2.2202||48.55941132||26.39763906||55.22912844||17.90670479||55.22912844||17.90670479||63.1867||17.1493||0.14473897||0.04037888||0.12562882||0.05267051||0.12562882||0.05267051||0.0698||0.0626||849.12||0.25288053||0.14684967||0.25335594||0.14689625||0.25368332||0.14698377||0.38763578||0.14498149||0.38820388||0.14499979||0.38787921||0.14499158||0.48703866||0.14154124||0.04940832||0.03167534||0.04925564||0.03134465||0.04919099||0.03133108||0.07609787||0.03259185||0.07593246||0.03231497||0.07604552||0.03260336||0.09623081||0.03152994||26.00523196||142.20486443||586.27548336||470.90990866||858.49772||187.00632969||26.4337||10.4128||0.92617634||0.20730795||0.93604249||0.17877619||0.98600007||0.05057526||0.9862||0.0494||0.30229688||0.36024664||0.69891104||0.90801748||43.99547449||37.45459285||0.7114||0.8721||65.22542782||22.85726224||47.23829076||20.35284462||47.23829076||20.35284462||60.6202||14.7594||0.15701905||0.17931771||0.08463798||0.1654421||0.08463798||0.1654421||0.0185||0.03||558.8256||27.16134955||163.93235261||741.58948713||599.13697733||1087.47126092||236.86640187||29.6591||11.8852||0.91739283||0.21799124||0.9357529||0.17971635||0.98600442||0.05038262||0.9862||0.0492||0.31955673||0.35766432||0.70692537||0.91328886||49.60125053||42.17738873||0.7151||0.8804||63.82233848||22.79311423||46.68856065||20.00772472||46.68856065||20.00772472||60.5496||14.7401||0.16215449||0.19063971||0.08436443||0.16972689||0.08436443||0.16972689||0.0187||0.0291||706.88,5dd9d9c57a4e27fe2e50d59398ed18061c94b334d6f9fe5d8c55fcb3b4674418,6
EXCEL-ROW-0014,7,14,33677f29b6fed8dbaf27e93b0d161cc9f021d0461f88594c869ff203ca8c6ede,8341e745c31d94e9dbce39fb71435d44d4d2a7c86108fe83fad2ce508a251cbc,65e00f60fd84999d2c3302c0e9c54f6389ea802dec92a29e1139e280a3387e18,4f7b605b91c7e2fce4a58b80df8e05c57d1c90748bb2c3c253fae8135cdaa191,1331.0||6430.0||2443.0||9.661908||4.680295||4.41494308||0.76821916||4.721492||0.82156||32.794963||32.340889||4.204354||0.46659655||4.4962808||0.4989944||32.015555||6.784613||2.37421262||34.65098407||233.7226256||415.17490542||447.57612984||296.86906128||16.7171||14.8392||4.08865504||0.97645184||0.02112428||0.96847689||0.10033904||0.96402378||0.0998279||0.9657||0.1159||0.45088733||0.41645707||0.59560283||1.82491699||44.4849064||44.38010754||0.6451||2.1102||56.80756453||27.07252692||65.17406595||17.5715355||65.17406595||17.5715355||74.8099||21.1281||0.17409164||0.04646077||0.13031501||0.07166351||0.13031501||0.07166351||0.0761||0.077||975.68||0.2531323||0.14707148||0.25292253||0.14699866||0.25331438||0.14675196||0.38770874||0.14479753||0.38775369||0.14467136||0.38789279||0.14473935||0.48687218||0.14122387||0.05048032||0.03299718||0.05026496||0.03273473||0.05020061||0.0330708||0.07876659||0.03210964||0.07853578||0.0323116||0.07867916||0.03256448||0.09971662||0.03009284||21.12633971||135.22471274||766.56464724||427.42923203||869.0848||244.53018641||28.2227||9.5134||0.9996114||0.01087838||0.98491833||0.06611519||0.98491833||0.06611519||0.9857||0.0617||0.01646238||0.16957847||0.6389155||0.84757136||38.0038675||40.73799403||0.6991||0.8089||89.00012011||7.2826798||51.19401987||24.31694307||51.19401987||24.31694307||61.191||16.918||0.12095537||0.03816693||0.03258039||0.0487124||0.03258039||0.0487124||0.0196||0.036||428.624||22.68264056||157.95002332||969.26525643||542.11413784||1099.01782772||311.18575119||31.7313||10.7663||0.99966893||0.01006015||0.98484537||0.06639341||0.98484537||0.06639341||0.9856||0.062||0.01396039||0.1566172||0.63903692||0.85050903||42.89006051||45.94441332||0.7001||0.8117||89.15317772||6.71287812||51.23671029||24.35117191||51.23671029||24.35117191||61.1762||16.9238||0.11206673||0.01376932||0.03115894||0.04456913||0.03115894||0.04456913||0.0198||0.0344||546.88,feee6fa46d64c3c068f9c2040e9566985adaff955d522d503e84b6507909dee6,7
EXCEL-ROW-0015,8,15,15fc3928646f63ef918b1e3daf7adaece6d1280bf32a2d72d514fc1d3c97e0ea,352d7a44bec6ee48ffef44cc740d7b823e068fd6804a2c4205551e836ec30ce2,65e00f60fd84999d2c3302c0e9c54f6389ea802dec92a29e1139e280a3387e18,822beeddb26e880162defdd0d197cf4652a8ff3031424d89a75a2b4089979205,666.0||2340.0||348.0||7.027027||4.819995||3.93785769||0.62740386||6.19758||0.9874368||30.0||29.191472||3.78114804||0.27264784||5.9509432||0.4291056||30.0||17.75869||5.13841575||50.69148505||233.71691475||418.77812274||456.91485643||297.69455882||16.7736||14.7961||4.09555857||0.97186109||0.01978408||0.97228178||0.07148778||0.97264997||0.07143049||0.9766||0.0833||0.60972125||0.49849653||0.72268111||2.537179||41.22222758||36.23062625||0.6625||2.9344||47.81307923||25.37353069||57.23350532||20.15584073||57.23350532||20.15584073||75.1673||20.311||0.10950376||0.02502238||0.08008891||0.04351108||0.08008891||0.04351108||0.0519||0.0491||995.2||0.25658396||0.14731323||0.25684414||0.14741391||0.25693406||0.14741406||0.39194785||0.1470142||0.3922658||0.14687861||0.39203082||0.14695021||0.49225214||0.14377112||0.06078023||0.02920382||0.06141498||0.02899766||0.06084264||0.02910426||0.09218266||0.02573172||0.09224928||0.02552683||0.09180738||0.02583388||0.1154647||0.01940495||39.98262954||185.32555104||780.90166565||426.62992311||881.36709||244.16906612||28.5021||9.3359||0.99954944||0.010367||0.99037405||0.0469876||0.99037405||0.0469876||0.9905||0.0437||0.03282252||0.2675889||0.70124104||1.03008095||34.64318132||32.62682364||0.777||1.0148||88.10966546||10.082889||49.61369778||24.84588672||49.61369778||24.84588672||59.412||17.3076||0.09279554||0.0427011||0.02648879||0.03735739||0.02648879||0.03735739||0.0154||0.0255||439.2192||46.11988551||223.67298629||980.56453433||537.56709715||1106.35905119||309.80307779||31.9451||10.5271||0.99957562||0.01005243||0.99012246||0.04752469||0.99012247||0.04752469||0.9902||0.0443||0.03026846||0.25859961||0.70449849||1.03994842||39.61290669||37.01904782||0.7814||1.0241||88.2656003||9.6778822||49.63184696||24.90774799||49.63184696||24.90774799||59.3577||17.3548||0.07861625||0.01316077||0.02421335||0.03064014||0.02421335||0.03064014||0.0161||0.0233||547.2,2a4e7385f0554e0397174969359e9aef1ceddb898eba85fb3a8ed3f25cdbcdc2,8
EXCEL-ROW-0016,9,16,2b401e57e8dd6defb7262d076103f2a61aaf4cc795e82634d130bfdecac94805,20c8e0629481f7149f69d89ddb4a035560c56989ca8d5fc35f7ab9d5d7509f47,65e00f60fd84999d2c3302c0e9c54f6389ea802dec92a29e1139e280a3387e18,822beeddb26e880162defdd0d197cf4652a8ff3031424d89a75a2b4089979205,3096.0||7020.0||-2262.0||4.534884||0.778182||1.67873026||0.51514323||2.549352||0.7823064||30.0||27.854527||1.70694062||0.19939535||2.5921928||0.3028056||30.0||22.212038||4.73061071||49.61241455||230.9945272||433.92587813||466.86580175||319.87797602||16.958||15.2619||4.11800923||0.955584||0.11853972||0.96473736||0.09442158||0.97058355||0.06541276||0.9747||0.0791||0.5978501||0.40154811||0.59697501||1.17466122||44.84023539||36.63642639||0.5201||1.4191||46.29735785||21.64639097||54.8275543||21.01485388||54.8275543||21.01485388||72.6864||20.3137||0.11977503||0.08532538||0.09223323||0.04812937||0.09223323||0.04812937||0.0563||0.0528||1034.2||0.25560999||0.14706814||0.25520777||0.14699129||0.25574352||0.1471491||0.39026582||0.14627216||0.39041477||0.14618946||0.39063363||0.1463847||0.49010914||0.14336521||0.05834315||0.03140109||0.05835051||0.03142714||0.0599964||0.03170952||0.09032844||0.0249634||0.09161729||0.02457194||0.0915229||0.02487109||0.11436859||0.0175296||21.05638981||136.8265182||709.38428975||432.57317506||873.182165||258.5111718||28.8351||8.8952||0.97979831||0.12330596||0.93616439||0.17889812||0.98895924||0.04917138||0.9895||0.0446||0.06124709||0.31277779||0.67184067||0.75273894||38.0312456||32.38734421||0.799||0.7476||86.84344619||13.99166295||48.54570669||24.34435983||48.54570669||24.34435983||56.4095||16.0047||0.22009901||0.17256154||0.11595125||0.2064045||0.11595125||0.2064045||0.0157||0.0335||411.8048||21.81388641||156.53932244||987.31017817||528.48805153||1095.46015081||328.36477756||32.3235||10.0238||0.98362875||0.10930636||0.9756618||0.11872141||0.9886717||0.04963007||0.9892||0.045||0.05610085||0.29840608||0.72204192||0.82077792||43.44325347||36.63870738||0.8081||0.7683||87.13481649||13.45692386||46.6276392||24.90800767||46.6276392||24.90800767||56.2621||16.0841||0.21875594||0.16564341||0.05393641||0.08875486||0.05393641||0.08875486||0.0164||0.0322||511.96,8d3b62992eaf193e030234377a16305add9b689b22e6f3a402f9475183cad0a2,9
