role,ordinal,excel_col,normalized_header,dtype,nan_count,raw_value_hash,nan_mask_hash
feature,23,AF,Structural parameters: External | Overlay images | Thickness | AVG,float64,0,330f0c8dd1fa76b4c9bf9fa7220b44b0336118cc018765b2b738714a1ec756e5,ec36965143c620db5dc43938945ec25a42b4ac2a15cbdd105cf79c5db2ff6be5
feature,24,AG,Structural parameters: External | Overlay images | Thickness | Std,float64,0,ed2ea1c6a9a2ee20420c60550cb54a938c95c6512e8441c408b4038a24f31890,ec36965143c620db5dc43938945ec25a42b4ac2a15cbdd105cf79c5db2ff6be5
feature,25,AH,Structural parameters: External | Overlay images | Thickness | SQRT(AVG),float64,0,6b700ceb0ae56ca6fb679f634ddc11ff06da1e500ad024d6be01b9f0f8cae44f,ec36965143c620db5dc43938945ec25a42b4ac2a15cbdd105cf79c5db2ff6be5
feature,26,AI,Structural parameters: External | Overlay images | Mass Orientation | IP,float64,0,f67f53865d8006089fdd1d72e05908033eab0484d3cb8d71863db9214714e7e5,ec36965143c620db5dc43938945ec25a42b4ac2a15cbdd105cf79c5db2ff6be5
feature,27,AJ,Structural parameters: External | Overlay images | Mass Orientation | IP-stdev,float64,0,655f1267fa0763d39b8deaec65ffda669271e9b3e25dd1fa08bcdb00e1a72d14,ec36965143c620db5dc43938945ec25a42b4ac2a15cbdd105cf79c5db2ff6be5
feature,28,AK,Structural parameters: External | Overlay images | Mass Orientation | LIP,float64,0,3e38a9922eba7ddada2b370fcf7b3e885f66d9e66d803a569f6286826d6f67bb,ec36965143c620db5dc43938945ec25a42b4ac2a15cbdd105cf79c5db2ff6be5
feature,29,AL,Structural parameters: External | Overlay images | Mass Orientation | LIP-stdev,float64,0,36749d93fe239ad96270f08141bcf4ae22d7d0dad7c6bb2dbf64d6f6645630c6,ec36965143c620db5dc43938945ec25a42b4ac2a15cbdd105cf79c5db2ff6be5
feature,30,AM,Structural parameters: External | Overlay images | Mass Orientation | LTP,float64,0,99f979937d958980b657baef283e13d3be83c6a5565645568561f305bd11113e,ec36965143c620db5dc43938945ec25a42b4ac2a15cbdd105cf79c5db2ff6be5
feature,31,AN,Structural parameters: External | Overlay images | Mass Orientation | LIP-stdev__2,float64,0,c1d27faaf663eeb2bf5d17031793ca00c300a6fed7dc38daad77d8cb22f2ac60,ec36965143c620db5dc43938945ec25a42b4ac2a15cbdd105cf79c5db2ff6be5
feature,32,AO,Structural parameters: External | Overlay images | Mass Orientation | AVG,float64,0,765083cdb062e0609b34da63e66b58479d53707e071d9c755cf1d88d041c0717,ec36965143c620db5dc43938945ec25a42b4ac2a15cbdd105cf79c5db2ff6be5
